local	gen	trat	bl	df	dm	aca	ap	avag	rend	p100
CPAO-DDOS	BR 02-72914	23	2	40	102	1	85	12	.	12.17
CPAO-DDOS	BR 02-72914	23	3	40	102	1	83	12	3229.60	12.19
CPAO-DDOS	BR 02-68661	24	1	41	98	1	87	16	3641.38	13.31
CPAO-DDOS	BR 02-68661	24	2	42	98	1	88	14	2951.26	13.31
CPAO-DDOS	BR 02-68661	24	3	42	100	1	75	19	3296.65	13.33
CPAO-DDOS	BR 02-78838	25	1	43	101	1	78	11	2894.47	12.30
CPAO-DDOS	BR 02-78838	25	2	42	102	1	82	15	2836.45	11.24
CPAO-DDOS	BR 02-78838	25	3	43	102	1	68	10	2995.59	11.30
MARAC	BRS 284	1	1	28	102	1	80	15	3307.31	11.5
MARAC	BRS 284	1	2	28	101	1	75	12	3569.55	.
MARAC	BRS 284	1	3	28	.	1	85	16	3133.79	.
MARAC	BRS 285	2	1	44	110	1	75	12	2681.48	12.5
MARAC	BRS 285	2	2	44	115	1	85	15	3187.95	.
MARAC	BRS 285	2	3	.	.	1	80	20	2675.86	.
MARAC	Vmax	3	1	39	106	1	75	15	2540.44	14
MARAC	Vmax	3	2	32	100	2	80	15	2746.05	.
MARAC	Vmax	3	3	.	.	1	85	15	2938.65	.
MARAC	BRS 239	4	1	38	103	1	80	15	3300.23	13.6
MARAC	BRS 239	4	2	37	104	1	75	12	.	.
MARAC	BRS 239	4	3	.	.	1	75	15	3349.34	.
MARAC	CD 202	5	1	39	100	1	70	8	2632.73	13.3
MARAC	CD 202	5	2	39	101	1	75	12	2945.34	.
MARAC	CD 202	5	3	.	.	1	95	15	2537.52	.
MARAC	Embrapa 48	6	1	39	110	1	55	10	2674.84	11.1
MARAC	Embrapa 48	6	2	38	113	1	60	10	2495.86	.
MARAC	Embrapa 48	6	3	.	.	1	65	10	2097.13	.
MARAC	BRS 282	7	1	40	105	1	70	12	2345.85	12.1
MARAC	BRS 282	7	2	38	103	1	75	10	2584.93	.
MARAC	BRS 282	7	3	.	.	1	75	10	2859.86	.
MARAC	BRS 268	8	1	41	109	1	90	18	2638.85	12
MARAC	BRS 268	8	2	40	108	1	95	18	2860.11	.
MARAC	BRS 268	8	3	.	.	1	95	18	2608.43	.
MARAC	BRS 243 RR	9	1	45	116	1	60	13	3427.99	11.3
MARAC	BRS 243 RR	9	2	44	115	1	70	12	2782.32	.
MARAC	BRS 243 RR	9	3	.	.	1	60	12	2788.39	.
MARAC	BRS 291 RR	10	1	41	110	1	75	18	2480.03	14.1
MARAC	BRS 291 RR	10	2	38	108	1	80	15	2708.69	.
MARAC	BRS 291 RR	10	3	.	.	1	70	12	.	.
MARAC	BRS 246 RR	11	1	44	114	1	60	12	2844.93	11.2
MARAC	BRS 246 RR	11	2	44	114	1	60	12	3341.56	.
MARAC	BRS 246 RR	11	3	.	.	1	65	12	3079.91	.
MARAC	BRS 255 RR	12	1	41	110	1	75	20	2661.24	13.2
MARAC	BRS 255 RR	12	2	39	110	1	80	15	3390.66	.
MARAC	BRS 255 RR	12	3	.	.	1	78	15	3018.17	.
MARAC	BRS 292 RR	13	1	41	118	1	80	15	3214.47	11.2
MARAC	BRS 292 RR	13	2	41	117	1	85	20	3936.42	.
MARAC	BRS 292 RR	13	3	.	.	1	80	10	3277.89	.
MARAC	BRS Favorita RR	14	1	48	121	1	95	23	3888.89	13.4
MARAC	BRS Favorita RR	14	2	48	119	3	90	20	3363.27	.
MARAC	BRS Favorita RR	14	3	.	.	1	90	20	2721.55	.
MARAC	M-SOY 7908 RR	15	1	44	117	2	85	20	3935.11	15
MARAC	M-SOY 7908 RR	15	2	44	117	3	85	20	3740.97	.
MARAC	M-SOY 7908 RR	15	3	.	.	3	85	20	3697.37	.
MARAC	NK 7059 RR	16	1	34	103	1	95	12	2903.81	14.7
MARAC	NK 7059 RR	16	2	33	105	1	100	15	3266.67	.
MARAC	NK 7059 RR	16	3	.	.	1	90	13	2754.74	.
MARAC	BMX MAGNA RR	17	1	30	101	1	78	10	3274.07	12.2
MARAC	BMX MAGNA RR	17	2	29	102	1	80	12	3259.16	.
MARAC	BMX MAGNA RR	17	3	29	.	1	70	15	3415.99	.
MARAC	BMX POTÊNCIA RR	18	1	34	107	1	95	15	2970.37	12.2
MARAC	BMX POTÊNCIA RR	18	2	34	107	1	100	17	3363.54	.
MARAC	BMX POTÊNCIA RR	18	3	.	.	1	105	13	3311.30	.
MARAC	BRS 294 RR	19	1	37	100	1	75	20	3236.90	13.6
MARAC	BRS 294 RR	19	2	39	101	1	75	20	3185.25	.
MARAC	BRS 294 RR	19	3	.	.	1	65	15	3334.25	.
MARAC	BR 02-04844	20	1	38	110	1	110	15	.	12.4
MARAC	BR 02-04844	20	2	37	108	3	105	15	4838.19	.
MARAC	BR 02-04844	20	3	.	.	1	110	13	4612.01	.
MARAC	BR 02-22425	21	1	41	116	1	70	10	3782.63	14
MARAC	BR 02-22425	21	2	38	116	1	60	12	4007.14	.
MARAC	BR 02-22425	21	3	.	.	1	65	10	4016.22	.
MARAC	BR 01-25656	22	1	38	102	1	75	12	3775.10	13.7
MARAC	BR 01-25656	22	2	36	94	1	80	12	3737.42	.
MARAC	BR 01-25656	22	3	.	.	1	75	15	3744.01	.
MARAC	BR 02-72914	23	1	39	109	1	75	15	4867.69	13.6
MARAC	BR 02-72914	23	2	38	105	1	85	15	4206.55	.
MARAC	BR 02-72914	23	3	.	.	1	75	10	4986.34	.
MARAC	BR 02-68661	24	1	38	107	1	80	15	4259.41	13.3
MARAC	BR 02-68661	24	2	39	106	1	80	15	3303.87	.
MARAC	BR 02-68661	24	3	.	.	1	80	15	4153.68	.
MARAC	BR 02-78838	25	1	42	110	1	75	15	4367.77	11.8
MARAC	BR 02-78838	25	2	42	108	1	65	13	3455.22	.
MARAC	BR 02-78838	25	3	.	.	1	65	10	4048.86	.
NAV	BRS 284	1	1	39	98	3	100	25	.	.
NAV	BRS 284	1	2	38	98	3	90	10	3604.60	.
NAV	BRS 284	1	3	.	.	.	.	.	4249.81	.
NAV	BRS 285	2	1	50	112	1	95	30	4403.07	13.2
NAV	BRS 285	2	2	52	102	1	80	10	3892.86	.
NAV	BRS 285	2	3	.	.	.	.	.	4181.05	.
NAV	Vmax	3	1	30	97	1	95	10	.	16.9
NAV	Vmax	3	2	30	97	1	95	10	4188.61	.
NAV	Vmax	3	3	.	.	.	.	.	4355.30	.
NAV	BRS 239	4	1	35	100	1	70	20	3830.00	16.7
NAV	BRS 239	4	2	34	100	1	70	20	3560.09	.
NAV	BRS 239	4	3	.	.	.	.	.	3637.29	.
NAV	CD 202	5	1	30	97	1	85	10	.	16.5
NAV	CD 202	5	2	29	97	1	80	10	2282.91	.
NAV	CD 202	5	3	.	.	.	.	.	2342.99	.
NAV	Embrapa 48	6	1	35	107	1	70	5	4253.57	14.5
NAV	Embrapa 48	6	2	35	105	1	70	10	3349.34	.
NAV	Embrapa 48	6	3	.	.	.	.	.	3191.28	.
NAV	BRS 282	7	1	36	107	1	65	5	2853.58	13.4
NAV	BRS 282	7	2	36	107	1	70	10	2729.56	.
NAV	BRS 282	7	3	.	.	.	.	.	2915.13	.
NAV	BRS 268	8	1	35	109	1	75	5	3971.01	16.5
NAV	BRS 268	8	2	34	48	1	70	10	.	.
NAV	BRS 268	8	3	.	.	.	.	.	3511.37	.
NAV	BRS 243 RR	9	1	37	90	1	70	10	3500.59	15.2
NAV	BRS 243 RR	9	2	37	90	1	70	10	4166.92	.
NAV	BRS 243 RR	9	3	.	.	.	.	.	4764.14	.
NAV	BRS 291 RR	10	1	35	100	1	80	15	3861.38	17.4
NAV	BRS 291 RR	10	2	35	100	1	80	15	4657.93	.
NAV	BRS 291 RR	10	3	.	.	.	.	.	4210.81	.
NAV	BRS 246 RR	11	1	39	98	1	80	15	3700.38	12.6
NAV	BRS 246 RR	11	2	39	98	1	80	15	4840.93	.
NAV	BRS 246 RR	11	3	.	.	.	.	.	4366.96	.
NAV	BRS 255 RR	12	1	36	99	1	85	15	4965.38	13.9
NAV	BRS 255 RR	12	2	36	99	1	80	15	5241.69	.
NAV	BRS 255 RR	12	3	.	.	.	.	.	4554.34	.
NAV	BRS 292 RR	13	1	39	108	1	90	15	3810.57	12.6
NAV	BRS 292 RR	13	2	38	108	1	90	10	3750.09	.
NAV	BRS 292 RR	13	3	.	.	.	.	.	4170.59	.
NAV	BRS Favorita RR	14	1	44	113	2	115	40	3920.00	14.2
NAV	BRS Favorita RR	14	2	45	113	2	115	40	4801.98	.
NAV	BRS Favorita RR	14	3	.	.	.	.	.	4869.71	.
