## Experimento feito por Gabrielen de Maria Gomes Dias
## (http://lattes.cnpq.br/3637029306988132) Doutoranda em Agronomia
## (Fitotecnia) pela UFLA (2010-2013)
##
## Experimento feito para avaliar a propagação em meio de cultura (3
## meios) de 5 cultivares de banana (cult). O experimento foi em
## delineamento inteiramente casualizado com 5 repetições e 4 plantulas
## (plant) por tubo (rept). As variáveis registradas foram o altura das
## plantulas (altplan), o comprimento das raízes (compraiz), o número de
## folhas (nfolha) e o número de raízes (nraiz).
##
cult	meio	rept	plant	altplan	compraiz	nfolha	nraiz
f	bds	5	1	4.5	13	3	6
f	bds	5	2	4	19	3	2
f	bds	5	3	4.5	17	2	4
f	bds	5	4	3	14	1	3
f	ms	1	1	6	12	3	7
f	ms	1	2	7	17	4	9
f	ms	1	3	6	15	4	5
f	ms	1	4	7	18	3	6
f	ms	2	1	7.5	18	4	3
f	ms	2	2	7	19	4	3
f	ms	2	3	6	18	3	3
f	ms	2	4	6	17	2	2
f	ms	3	1	6	13.5	3	6
f	ms	3	2	5.5	16	4	6
f	ms	3	3	5	14	4	3
f	ms	3	4	6	17	3	5
f	ms	4	1	4.5	13	3	3
f	ms	4	2	4.5	16.5	4	5
f	ms	4	3	6	19	3	4
f	ms	4	4	6	19	4	3
f	ms	5	1	4	17	4	3
f	ms	5	2	3	15	3	3
f	ms	5	3	1.5	0	0	0
f	ms	5	4	3.5	9	3	1
f	wpm	1	1	4.5	9	3	4
f	wpm	1	2	4.5	4	3	2
f	wpm	1	3	4	6	3	4
f	wpm	1	4	3	1.5	1	1
f	wpm	2	1	4	4	3	6
f	wpm	2	2	3.5	4	3	4
f	wpm	2	3	4	6	3	4
f	wpm	2	4	4.5	4	3	7
f	wpm	3	1	3.5	9	4	4
f	wpm	3	2	3.5	3	3	2
f	wpm	3	3	4	2	4	5
f	wpm	3	4	3.5	2.5	3	2
f	wpm	4	1	3.5	3	3	5
f	wpm	4	2	2	4	3	3
f	wpm	4	3	3	3.5	3	5
f	wpm	4	4	4.5	5	4	5
f	wpm	5	1	4	8.5	4	6
f	wpm	5	2	4	5	4	6
f	wpm	5	3	2	0	0	0
f	wpm	5	4	3.5	10	4	5
p	bds	1	1	10	15	4	6
p	bds	1	2	11	13	4	6
p	bds	1	3	10	18	3	3
p	bds	1	4	6	9.5	3	6
p	bds	2	1	9.5	20	3	9
p	bds	2	2	7	18	4	4
p	bds	2	3	9.5	18	3	5
p	bds	2	4	7	11	3	4
p	bds	3	1	9	18	3	4
p	bds	3	2	10	29	3	7
p	bds	3	3	8	7	4	5
p	bds	3	4	8.5	18	3	4
p	bds	4	1	7	14	5	6
p	bds	4	2	8	17	4	6
p	bds	4	3	6.5	10	4	6
p	bds	4	4	7.5	16	3	5
p	bds	5	1	7.5	7.5	4	3
p	bds	5	2	6.5	5	3	3
p	bds	5	3	10	25	3	5
p	bds	5	4	10	16	3	6
p	ms	1	1	8.5	20	4	5
p	ms	1	2	8	17	3	7
p	ms	1	3	9	21	4	5
p	ms	1	4	5	12	2	2
p	ms	2	1	8.5	16	3	6
p	ms	2	2	9	23	3	6
p	ms	2	3	5	15	3	5
p	ms	2	4	8	17	3	7
p	ms	3	1	8	6	4	8
p	ms	3	2	8.5	18	4	5
p	ms	3	3	9	15	3	5
p	ms	3	4	8.5	13	3	5
p	ms	4	1	7.5	9	4	3
p	ms	4	2	8.5	12	4	3
p	ms	4	3	3	9.5	3	2
p	ms	4	4	10	13	4	6
p	ms	5	1	5	17	3	2
p	ms	5	2	5	13	4	4
p	ms	5	3	7	17	4	6
p	ms	5	4	5	12	3	3
p	wpm	1	1	5.5	12	3	4
p	wpm	1	2	4.5	7.5	3	3
p	wpm	1	3	7	8	4	3
p	wpm	1	4	6	11	3	4
p	wpm	2	1	5.5	14	3	4
p	wpm	2	2	8	11	4	4
p	wpm	2	3	5	7	4	7
p	wpm	2	4	7	12	4	4
p	wpm	3	1	6.5	8	3	5
p	wpm	3	2	7	5	3	4
p	wpm	3	3	5	4.5	3	4
p	wpm	3	4	6	5.5	3	5
p	wpm	4	1	6	5.5	3	6
p	wpm	4	2	7.5	10	4	4
p	wpm	4	3	9	10	3	4
p	wpm	4	4	6.5	9.5	3	3
p	wpm	5	1	8	11	3	4
p	wpm	5	2	5	9	3	5
p	wpm	5	3	5	8.5	3	5
p	wpm	5	4	4	4.5	2	5
t	bds	1	1	2	8	0	2
t	bds	1	2	6	19	3	7
t	bds	1	3	5	15	2	4
t	bds	1	4	6	19	4	4
t	bds	2	1	2	10	1	1
t	bds	2	2	4	11	3	3
t	bds	2	3	2	12.5	0	1
t	bds	2	4	7	17	3	4
t	bds	3	1	2	11	0	3
t	bds	3	2	2.5	13	0	5
t	bds	3	3	8	23	3	6
t	bds	3	4	5	26	3	3
t	bds	4	1	4.5	25.5	3	2
t	bds	4	2	2.5	0	0	0
t	bds	4	3	5	33	3	1
t	bds	4	4	4	24	3	2
t	bds	5	1	6	13	3	4
t	bds	5	2	5.5	15	3	5
t	bds	5	3	3	12	2	2
t	bds	5	4	2	10	0	3
t	ms	1	1	4.5	12	3	4
t	ms	1	2	2	14	1	3
t	ms	1	3	7	18	4	5
t	ms	1	4	4	12	1	3
t	ms	2	1	7	16	3	5
t	ms	2	2	6.5	12	3	4
t	ms	2	3	7	20	3	4
t	ms	2	4	2	7	0	2
t	ms	3	1	7.5	3.5	3	7
t	ms	3	2	4.5	13	3	4
t	ms	3	3	7	17	3	3
t	ms	3	4	7.5	16	3	6
t	ms	4	1	5	12	3	4
