preco	area	quartos	banheiros	vagas	suites	bairro
670000	126	3	NA	2	3	portao
299000	95.15	2	NA	2	NA	portao
225000	67	3	1	1	NA	portao
275051	63	2	NA	1	NA	portao
635000	106	3	3	2	1	portao
279900	55	2	1	1	NA	portao
404900	79	3	2	1	1	portao
1787000	308	4	6	3	2	portao
650000	124.19	3	NA	2	NA	portao
679720	126	3	5	2	3	portao
326300	64	3	2	2	1	portao
265300	62	3	2	1	1	portao
315000	74.27	3	NA	1	1	portao
799900	129	3	4	2	1	portao
674415	127	3	NA	2	3	portao
427000	80	3	2	1	1	portao
265000	67	3	1	2	NA	portao
440000	83	3	1	2	1	portao
245000	52.68	2	NA	1	NA	portao
230000	72	2	1	1	NA	portao
381000	66	3	NA	NA	NA	portao
185000	32	1	1	1	NA	portao
395000	96	3	2	NA	1	portao
445000	88	3	3	1	1	portao
551586	96	3	NA	2	NA	portao
1374900	226	4	5	3	4	portao
589000	93	3	2	2	1	portao
239000	75	3	1	1	1	portao
295000	98	3	NA	1	NA	portao
695000	102	3	NA	3	1	portao
122500	24	1	1	NA	NA	portao
365000	75	3	NA	1	1	portao
679900	105	3	3	2	1	portao
549000	146	3	3	2	1	portao
372000	65	2	2	1	1	portao
599900	105	3	NA	2	1	portao
549000	140	3	2	2	1	portao
557900	148	3	3	2	1	portao
380000	91	3	1	1	1	portao
270000	63	2	1	1	1	portao
340000	44	3	2	1	1	portao
406300	79	3	2	1	1	portao
380889	82	3	3	1	1	portao
299000	75	3	2	1	1	portao
325000	76	2	2	1	1	portao
320000	81.73	3	2	1	1	portao
289000	70	3	2	1	1	portao
302400	75	2	1	1	NA	portao
370000	66.02	2	1	1	1	portao
550000	79	3	2	2	1	portao
328800	75	3	2	1	1	portao
700000	186	3	2	3	2	portao
265000	63	2	1	1	1	portao
455000	85	3	2	2	1	portao
700520	148	3	2	2	1	portao
708646	148	3	2	2	1	portao
202900	34	1	NA	NA	NA	portao
414169	74	3	NA	2	1	portao
990000	156	4	5	3	3	portao
489000	121	2	2	2	1	portao
180000	33	1	1	1	NA	portao
372000	65	2	2	1	1	portao
235000	59	3	2	1	1	portao
290000	65	3	2	1	1	portao
265000	62	2	2	1	1	portao
415000	149.6	3	NA	1	NA	portao
475000	91	3	2	2	1	portao
205000	60	2	1	1	NA	portao
235000	60	2	2	1	1	portao
480000	83	3	2	2	1	portao
259000	63	3	2	1	1	portao
299000	70	3	1	1	NA	portao
518000	79	3	2	2	1	portao
365000	82	3	3	1	1	portao
679900	106	3	3	2	1	portao
549000	146	3	3	2	1	portao
466674	62	2	2	1	1	portao
620000	101.75	3	3	2	1	portao
546774	96	2	NA	2	1	portao
189700	33	1	1	NA	NA	portao
350000	80	3	2	1	1	portao
646000	125	3	4	2	3	portao
184900	76	3	1	1	1	portao
379000	104	3	2	1	1	portao
480000	209	3	2	2	1	portao
180000	57	2	NA	1	NA	portao
185100	32	1	1	1	NA	portao
220000	47	2	2	1	1	portao
185000	32	1	1	1	NA	portao
225000	78	3	NA	1	NA	portao
280000	58	3	2	NA	1	portao
1150000	227	3	NA	3	3	portao
362000	88	3	2	1	1	portao
208000	73	3	1	1	NA	portao
440000	79	3	1	1	1	portao
279000	63	2	2	2	NA	portao
659900	126	3	5	2	3	portao
835000	155	4	NA	2	2	portao
410000	75	3	2	2	1	portao
205000	64	3	1	NA	1	portao
494000	80	3	NA	1	NA	portao
205000	61	2	1	1	NA	portao
185000	32	1	1	1	NA	portao
260000	63	2	1	1	1	portao
254241	52	2	2	1	1	portao
480000	98	3	2	2	1	portao
750000	186	3	4	3	2	portao
225000	73	3	1	1	NA	portao
310000	68	3	3	1	2	portao
350000	82	3	3	NA	1	portao
