agregado	familia	cinza	bloco	rept	data	altura
4 a 10	F48	1.5	2	2	2012/03/16	40.0
4 a 10	F48	1.5	3	1	2012/03/16	13.5
4 a 10	F48	1.5	3	2	2012/03/16	10.5
4 a 10	F48	3	1	1	2012/03/16	44.0
4 a 10	F48	3	1	2	2012/03/16	49.0
4 a 10	F48	3	2	1	2012/03/16	24.5
4 a 10	F48	3	2	2	2012/03/16	34.0
4 a 10	F48	3	3	1	2012/03/16	23.5
4 a 10	F48	3	3	2	2012/03/16	36.2
4 a 10	F48	6	1	1	2012/03/16	15.0
4 a 10	F48	6	1	2	2012/03/16	23.7
4 a 10	F48	6	2	1	2012/03/16	11.5
4 a 10	F48	6	2	2	2012/03/16	27.5
4 a 10	F48	6	3	1	2012/03/16	16.5
4 a 10	F48	6	3	2	2012/03/16	16.5
4 a 10	F48	12	1	1	2012/03/16	41.0
4 a 10	F48	12	1	2	2012/03/16	36.5
4 a 10	F48	12	2	1	2012/03/16	25.9
4 a 10	F48	12	2	2	2012/03/16	32.3
4 a 10	F48	12	3	1	2012/03/16	13.0
4 a 10	F48	12	3	2	2012/03/16	17.8
4 a 10	F48	24	1	1	2012/03/16	22.5
4 a 10	F48	24	1	2	2012/03/16	53.5
4 a 10	F48	24	2	1	2012/03/16	17.5
4 a 10	F48	24	2	2	2012/03/16	23.0
4 a 10	F48	24	3	1	2012/03/16	15.5
4 a 10	F48	24	3	2	2012/03/16	14.5
4 a 10	F48	48	1	1	2012/03/16	39.0
4 a 10	F48	48	1	2	2012/03/16	34.2
4 a 10	F48	48	2	1	2012/03/16	30.5
4 a 10	F48	48	2	2	2012/03/16	17.5
4 a 10	F48	48	3	1	2012/03/16	28.5
4 a 10	F48	48	3	2	2012/03/16	26.5
<2	F29	0	1	1	2012/03/16	44.5
<2	F29	0	1	2	2012/03/16	36.0
<2	F29	0	2	1	2012/03/16	13.0
<2	F29	0	2	2	2012/03/16	30.0
<2	F29	0	3	1	2012/03/16	11.0
<2	F29	0	3	2	2012/03/16	13.8
<2	F29	1.5	1	1	2012/03/16	38.5
<2	F29	1.5	1	2	2012/03/16	38.0
<2	F29	1.5	2	1	2012/03/16	54.0
<2	F29	1.5	2	2	2012/03/16	48.5
<2	F29	1.5	3	1	2012/03/16	36.5
<2	F29	1.5	3	2	2012/03/16	58.0
<2	F29	3	1	1	2012/03/16	34.0
<2	F29	3	1	2	2012/03/16	12.0
<2	F29	3	2	1	2012/03/16	35.0
<2	F29	3	2	2	2012/03/16	18.0
<2	F29	3	3	1	2012/03/16	14.0
<2	F29	3	3	2	2012/03/16	27.4
<2	F29	6	1	1	2012/03/16	53.0
<2	F29	6	1	2	2012/03/16	29.5
<2	F29	6	2	1	2012/03/16	34.5
<2	F29	6	2	2	2012/03/16	22.8
<2	F29	6	3	1	2012/03/16	30.0
<2	F29	6	3	2	2012/03/16	17.0
<2	F29	12	1	1	2012/03/16	20.3
<2	F29	12	1	2	2012/03/16	12.5
<2	F29	12	2	1	2012/03/16	15.9
<2	F29	12	2	2	2012/03/16	17.0
<2	F29	12	3	1	2012/03/16	22.0
<2	F29	12	3	2	2012/03/16	29.3
<2	F29	24	1	1	2012/03/16	54.0
<2	F29	24	1	2	2012/03/16	44.0
<2	F29	24	2	1	2012/03/16	65.0
<2	F29	24	2	2	2012/03/16	43.0
<2	F29	24	3	1	2012/03/16	30.0
<2	F29	24	3	2	2012/03/16	28.5
<2	F29	48	1	1	2012/03/16	18.0
<2	F29	48	1	2	2012/03/16	16.5
<2	F29	48	2	1	2012/03/16	43.5
<2	F29	48	2	2	2012/03/16	11.5
<2	F29	48	3	1	2012/03/16	15.5
<2	F29	48	3	2	2012/03/16	15.5
<2	F48	0	1	1	2012/03/16	51.5
<2	F48	0	1	2	2012/03/16	57.0
<2	F48	0	2	1	2012/03/16	55.0
<2	F48	0	2	2	2012/03/16	61.0
<2	F48	0	3	1	2012/03/16	35.5
<2	F48	0	3	2	2012/03/16	12.0
<2	F48	1.5	1	1	2012/03/16	18.7
<2	F48	1.5	1	2	2012/03/16	42.0
<2	F48	1.5	2	1	2012/03/16	10.5
<2	F48	1.5	2	2	2012/03/16	20.0
<2	F48	1.5	3	1	2012/03/16	12.0
<2	F48	1.5	3	2	2012/03/16	13.7
<2	F48	3	1	1	2012/03/16	44.0
<2	F48	3	1	2	2012/03/16	55.5
<2	F48	3	2	1	2012/03/16	42.0
<2	F48	3	2	2	2012/03/16	19.5
<2	F48	3	3	1	2012/03/16	23.0
<2	F48	3	3	2	2012/03/16	30.5
<2	F48	6	1	1	2012/03/16	12.0
<2	F48	6	1	2	2012/03/16	9.5
<2	F48	6	2	1	2012/03/16	14.5
<2	F48	6	2	2	2012/03/16	17.0
<2	F48	6	3	1	2012/03/16	17.0
<2	F48	6	3	2	2012/03/16	15.0
<2	F48	12	1	1	2012/03/16	24.5
<2	F48	12	1	2	2012/03/16	12.0
<2	F48	12	2	1	2012/03/16	20.5
<2	F48	12	2	2	2012/03/16	46.5
<2	F48	12	3	1	2012/03/16	18.0
<2	F48	12	3	2	2012/03/16	26.5
<2	F48	24	1	1	2012/03/16	17.3
<2	F48	24	1	2	2012/03/16	17.0
<2	F48	24	2	1	2012/03/16	29.0
<2	F48	24	2	2	2012/03/16	40.0
<2	F48	24	3	1	2012/03/16	26.5
<2	F48	24	3	2	2012/03/16	38.6
<2	F48	48	1	1	2012/03/16	25.5
<2	F48	48	1	2	2012/03/16	50.0
<2	F48	48	2	1	2012/03/16	33.5
<2	F48	48	2	2	2012/03/16	42.5
<2	F48	48	3	1	2012/03/16	23.5
<2	F48	48	3	2	2012/03/16	17.0
4 a 10	F29	0	1	1	2012/03/23	77.0
4 a 10	F29	0	1	2	2012/03/23	77.0
4 a 10	F29	0	2	1	2012/03/23	63.0
4 a 10	F29	0	2	2	2012/03/23	40.0
4 a 10	F29	0	3	1	2012/03/23	48.0
4 a 10	F29	0	3	2	2012/03/23	61.0
4 a 10	F29	1.5	1	1	2012/03/23	70.0
4 a 10	F29	1.5	1	2	2012/03/23	53.0
4 a 10	F29	1.5	2	1	2012/03/23	58.0
4 a 10	F29	1.5	2	2	2012/03/23	73.0
4 a 10	F29	1.5	3	1	2012/03/23	57.0
4 a 10	F29	1.5	3	2	2012/03/23	69.0
4 a 10	F29	3	1	1	2012/03/23	38.0
4 a 10	F29	3	1	2	2012/03/23	60.0
4 a 10	F29	3	2	1	2012/03/23	50.0
4 a 10	F29	3	2	2	2012/03/23	76.0
4 a 10	F29	3	3	1	2012/03/23	16.0
4 a 10	F29	3	3	2	2012/03/23	65.0
4 a 10	F29	6	1	1	2012/03/23	62.0
4 a 10	F29	6	1	2	2012/03/23	90.0
4 a 10	F29	6	2	1	2012/03/23	76.0
4 a 10	F29	6	2	2	2012/03/23	55.0
4 a 10	F29	6	3	1	2012/03/23	75.0
4 a 10	F29	6	3	2	2012/03/23	61.0
4 a 10	F29	12	1	1	2012/03/23	69.0
4 a 10	F29	12	1	2	2012/03/23	56.0
4 a 10	F29	12	2	1	2012/03/23	29.0
4 a 10	F29	12	2	2	2012/03/23	52.0
4 a 10	F29	12	3	1	2012/03/23	49.0
4 a 10	F29	12	3	2	2012/03/23	41.0
4 a 10	F29	24	1	1	2012/03/23	60.0
4 a 10	F29	24	1	2	2012/03/23	76.0
4 a 10	F29	24	2	1	2012/03/23	75.0
4 a 10	F29	24	2	2	2012/03/23	80.0
4 a 10	F29	24	3	1	2012/03/23	58.0
4 a 10	F29	24	3	2	2012/03/23	70.0
4 a 10	F29	48	1	1	2012/03/23	54.0
4 a 10	F29	48	1	2	2012/03/23	55.0
4 a 10	F29	48	2	1	2012/03/23	35.0
4 a 10	F29	48	2	2	2012/03/23	28.0
4 a 10	F29	48	3	1	2012/03/23	37.0
4 a 10	F29	48	3	2	2012/03/23	31.0
4 a 10	F48	0	1	1	2012/03/23	87.0
4 a 10	F48	0	1	2	2012/03/23	81.0
4 a 10	F48	0	2	1	2012/03/23	60.0
4 a 10	F48	0	2	2	2012/03/23	62.0
4 a 10	F48	0	3	1	2012/03/23	66.0
4 a 10	F48	0	3	2	2012/03/23	54.0
4 a 10	F48	1.5	1	1	2012/03/23	31.0
4 a 10	F48	1.5	1	2	2012/03/23	61.0
4 a 10	F48	1.5	2	1	2012/03/23	28.0
4 a 10	F48	1.5	2	2	2012/03/23	61.0
4 a 10	F48	1.5	3	1	2012/03/23	38.0
4 a 10	F48	1.5	3	2	2012/03/23	34.0
4 a 10	F48	3	1	1	2012/03/23	70.0
4 a 10	F48	3	1	2	2012/03/23	81.0
4 a 10	F48	3	2	1	2012/03/23	87.0
4 a 10	F48	3	2	2	2012/03/23	71.0
4 a 10	F48	3	3	1	2012/03/23	40.0
4 a 10	F48	3	3	2	2012/03/23	67.0
4 a 10	F48	6	1	1	2012/03/23	32.3
4 a 10	F48	6	1	2	2012/03/23	47.0
4 a 10	F48	6	2	1	2012/03/23	35.0
4 a 10	F48	6	2	2	2012/03/23	60.0
4 a 10	F48	6	3	1	2012/03/23	47.0
4 a 10	F48	6	3	2	2012/03/23	43.0
4 a 10	F48	12	1	1	2012/03/23	71.0
4 a 10	F48	12	1	2	2012/03/23	61.0
4 a 10	F48	12	2	1	2012/03/23	59.0
4 a 10	F48	12	2	2	2012/03/23	65.0
4 a 10	F48	12	3	1	2012/03/23	45.0
4 a 10	F48	12	3	2	2012/03/23	28.0
4 a 10	F48	24	1	1	2012/03/23	37.0
4 a 10	F48	24	1	2	2012/03/23	88.0
4 a 10	F48	24	2	1	2012/03/23	42.0
4 a 10	F48	24	2	2	2012/03/23	49.0
4 a 10	F48	24	3	1	2012/03/23	40.0
4 a 10	F48	24	3	2	2012/03/23	25.0
4 a 10	F48	48	1	1	2012/03/23	80.0
4 a 10	F48	48	1	2	2012/03/23	75.0
4 a 10	F48	48	2	1	2012/03/23	61.0
4 a 10	F48	48	2	2	2012/03/23	54.0
4 a 10	F48	48	3	1	2012/03/23	62.0
4 a 10	F48	48	3	2	2012/03/23	59.0
<2	F29	0	1	1	2012/03/23	58.0
<2	F29	0	1	2	2012/03/23	67.5
<2	F29	0	2	1	2012/03/23	39.0
<2	F29	0	2	2	2012/03/23	58.0
<2	F29	0	3	1	2012/03/23	27.0
<2	F29	0	3	2	2012/03/23	22.0
<2	F29	1.5	1	1	2012/03/23	78.0
<2	F29	1.5	1	2	2012/03/23	78.0
<2	F29	1.5	2	1	2012/03/23	86.0
<2	F29	1.5	2	2	2012/03/23	80.0
<2	F29	1.5	3	1	2012/03/23	70.0
<2	F29	1.5	3	2	2012/03/23	90.0
<2	F29	3	1	1	2012/03/23	64.0
<2	F29	3	1	2	2012/03/23	20.0
<2	F29	3	2	1	2012/03/23	70.0
<2	F29	3	2	2	2012/03/23	45.0
<2	F29	3	3	1	2012/03/23	35.0
<2	F29	3	3	2	2012/03/23	60.0
<2	F29	6	1	1	2012/03/23	84.0
<2	F29	6	1	2	2012/03/23	60.0
<2	F29	6	2	1	2012/03/23	75.0
<2	F29	6	2	2	2012/03/23	64.0
<2	F29	6	3	1	2012/03/23	58.0
<2	F29	6	3	2	2012/03/23	36.0
<2	F29	12	1	1	2012/03/23	44.0
<2	F29	12	1	2	2012/03/23	31.0
<2	F29	12	2	1	2012/03/23	49.0
<2	F29	12	2	2	2012/03/23	52.0
<2	F29	12	3	1	2012/03/23	50.0
<2	F29	12	3	2	2012/03/23	61.0
<2	F29	24	1	1	2012/03/23	82.0
<2	F29	24	1	2	2012/03/23	83.0
<2	F29	24	2	1	2012/03/23	92.0
<2	F29	24	2	2	2012/03/23	65.0
<2	F29	24	3	1	2012/03/23	66.0
<2	F29	24	3	2	2012/03/23	65.0
<2	F29	48	1	1	2012/03/23	50.0
<2	F29	48	1	2	2012/03/23	43.0
<2	F29	48	2	1	2012/03/23	65.0
<2	F29	48	2	2	2012/03/23	30.0
<2	F29	48	3	1	2012/03/23	47.0
<2	F29	48	3	2	2012/03/23	46.0
<2	F48	0	1	1	2012/03/23	78.0
<2	F48	0	1	2	2012/03/23	84.0
<2	F48	0	2	1	2012/03/23	74.0
<2	F48	0	2	2	2012/03/23	88.0
<2	F48	0	3	1	2012/03/23	76.0
<2	F48	0	3	2	2012/03/23	20.0
<2	F48	1.5	1	1	2012/03/23	47.0
<2	F48	1.5	1	2	2012/03/23	74.0
<2	F48	1.5	2	1	2012/03/23	22.0
<2	F48	1.5	2	2	2012/03/23	46.0
<2	F48	1.5	3	1	2012/03/23	26.0
<2	F48	1.5	3	2	2012/03/23	30.0
<2	F48	3	1	1	2012/03/23	77.0
<2	F48	3	1	2	2012/03/23	80.0
<2	F48	3	2	1	2012/03/23	69.0
<2	F48	3	2	2	2012/03/23	54.0
<2	F48	3	3	1	2012/03/23	56.0
<2	F48	3	3	2	2012/03/23	57.0
<2	F48	6	1	1	2012/03/23	24.0
<2	F48	6	1	2	2012/03/23	17.0
<2	F48	6	2	1	2012/03/23	34.0
<2	F48	6	2	2	2012/03/23	46.0
<2	F48	6	3	1	2012/03/23	53.0
<2	F48	6	3	2	2012/03/23	42.0
<2	F48	12	1	1	2012/03/23	58.0
<2	F48	12	1	2	2012/03/23	32.0
<2	F48	12	2	1	2012/03/23	51.0
<2	F48	12	2	2	2012/03/23	79.0
<2	F48	12	3	1	2012/03/23	41.0
<2	F48	12	3	2	2012/03/23	57.0
<2	F48	24	1	1	2012/03/23	37.0
<2	F48	24	1	2	2012/03/23	41.0
<2	F48	24	2	1	2012/03/23	57.0
<2	F48	24	2	2	2012/03/23	67.0
<2	F48	24	3	1	2012/03/23	65.0
<2	F48	24	3	2	2012/03/23	66.0
<2	F48	48	1	1	2012/03/23	70.0
<2	F48	48	1	2	2012/03/23	79.0
<2	F48	48	2	1	2012/03/23	67.0
<2	F48	48	2	2	2012/03/23	78.0
<2	F48	48	3	1	2012/03/23	61.0
<2	F48	48	3	2	2012/03/23	39.0
4 a 10	F29	0	1	1	2012/03/30	130.0
4 a 10	F29	0	1	2	2012/03/30	130.0
4 a 10	F29	0	2	1	2012/03/30	100.0
4 a 10	F29	0	2	2	2012/03/30	66.0
4 a 10	F29	0	3	1	2012/03/30	85.0
4 a 10	F29	0	3	2	2012/03/30	111.0
4 a 10	F29	1.5	1	1	2012/03/30	97.0
4 a 10	F29	1.5	1	2	2012/03/30	89.0
4 a 10	F29	1.5	2	1	2012/03/30	105.0
4 a 10	F29	1.5	2	2	2012/03/30	120.0
4 a 10	F29	1.5	3	1	2012/03/30	106.0
4 a 10	F29	1.5	3	2	2012/03/30	111.0
4 a 10	F29	3	1	1	2012/03/30	80.0
4 a 10	F29	3	1	2	2012/03/30	106.0
4 a 10	F29	3	2	1	2012/03/30	93.0
4 a 10	F29	3	2	2	2012/03/30	112.0
4 a 10	F29	3	3	1	2012/03/30	26.0
4 a 10	F29	3	3	2	2012/03/30	102.0
4 a 10	F29	6	1	1	2012/03/30	90.0
4 a 10	F29	6	1	2	2012/03/30	130.0
4 a 10	F29	6	2	1	2012/03/30	131.0
4 a 10	F29	6	2	2	2012/03/30	99.0
4 a 10	F29	6	3	1	2012/03/30	115.0
4 a 10	F29	6	3	2	2012/03/30	100.0
4 a 10	F29	12	1	1	2012/03/30	120.0
4 a 10	F29	12	1	2	2012/03/30	106.0
4 a 10	F29	12	2	1	2012/03/30	69.0
4 a 10	F29	12	2	2	2012/03/30	95.0
4 a 10	F29	12	3	1	2012/03/30	80.0
4 a 10	F29	12	3	2	2012/03/30	68.0
4 a 10	F29	24	1	1	2012/03/30	115.0
4 a 10	F29	24	1	2	2012/03/30	124.0
4 a 10	F29	24	2	1	2012/03/30	128.0
4 a 10	F29	24	2	2	2012/03/30	125.0
4 a 10	F29	24	3	1	2012/03/30	102.0
4 a 10	F29	24	3	2	2012/03/30	116.0
4 a 10	F29	48	1	1	2012/03/30	110.0
4 a 10	F29	48	1	2	2012/03/30	92.0
4 a 10	F29	48	2	1	2012/03/30	49.0
4 a 10	F29	48	2	2	2012/03/30	67.0
4 a 10	F29	48	3	1	2012/03/30	72.0
4 a 10	F29	48	3	2	2012/03/30	49.0
4 a 10	F48	0	1	1	2012/03/30	128.0
4 a 10	F48	0	1	2	2012/03/30	128.0
4 a 10	F48	0	2	1	2012/03/30	93.0
4 a 10	F48	0	2	2	2012/03/30	100.0
4 a 10	F48	0	3	1	2012/03/30	92.0
4 a 10	F48	0	3	2	2012/03/30	84.0
4 a 10	F48	1.5	1	1	2012/03/30	72.0
4 a 10	F48	1.5	1	2	2012/03/30	117.0
4 a 10	F48	1.5	2	1	2012/03/30	67.0
4 a 10	F48	1.5	2	2	2012/03/30	72.0
4 a 10	F48	1.5	3	1	2012/03/30	76.0
4 a 10	F48	1.5	3	2	2012/03/30	62.0
4 a 10	F48	3	1	1	2012/03/30	106.0
4 a 10	F48	3	1	2	2012/03/30	115.0
4 a 10	F48	3	2	1	2012/03/30	120.0
4 a 10	F48	3	2	2	2012/03/30	116.0
4 a 10	F48	3	3	1	2012/03/30	53.0
4 a 10	F48	3	3	2	2012/03/30	96.0
4 a 10	F48	6	1	1	2012/03/30	67.0
4 a 10	F48	6	1	2	2012/03/30	95.0
4 a 10	F48	6	2	1	2012/03/30	80.0
4 a 10	F48	6	2	2	2012/03/30	113.0
4 a 10	F48	6	3	1	2012/03/30	92.0
4 a 10	F48	6	3	2	2012/03/30	70.0
4 a 10	F48	12	1	1	2012/03/30	102.0
4 a 10	F48	12	1	2	2012/03/30	98.0
4 a 10	F48	12	2	1	2012/03/30	107.0
4 a 10	F48	12	2	2	2012/03/30	110.0
4 a 10	F48	12	3	1	2012/03/30	80.0
4 a 10	F48	12	3	2	2012/03/30	40.0
4 a 10	F48	24	1	1	2012/03/30	46.0
4 a 10	F48	24	1	2	2012/03/30	140.0
4 a 10	F48	24	2	1	2012/03/30	86.0
4 a 10	F48	24	2	2	2012/03/30	95.0
4 a 10	F48	24	3	1	2012/03/30	86.0
4 a 10	F48	24	3	2	2012/03/30	52.0
4 a 10	F48	48	1	1	2012/03/30	130.0
4 a 10	F48	48	1	2	2012/03/30	130.0
4 a 10	F48	48	2	1	2012/03/30	90.0
4 a 10	F48	48	2	2	2012/03/30	100.0
4 a 10	F48	48	3	1	2012/03/30	109.0
4 a 10	F48	48	3	2	2012/03/30	86.0
<2	F29	0	1	1	2012/03/30	105.0
<2	F29	0	1	2	2012/03/30	108.0
<2	F29	0	2	1	2012/03/30	78.0
<2	F29	0	2	2	2012/03/30	109.0
<2	F29	0	3	1	2012/03/30	66.0
<2	F29	0	3	2	2012/03/30	30.0
<2	F29	1.5	1	1	2012/03/30	114.0
<2	F29	1.5	1	2	2012/03/30	113.0
<2	F29	1.5	2	1	2012/03/30	105.0
<2	F29	1.5	2	2	2012/03/30	135.0
<2	F29	1.5	3	1	2012/03/30	121.0
<2	F29	1.5	3	2	2012/03/30	128.0
<2	F29	3	1	1	2012/03/30	103.0
<2	F29	3	1	2	2012/03/30	24.0
<2	F29	3	2	1	2012/03/30	110.0
<2	F29	3	2	2	2012/03/30	92.0
<2	F29	3	3	1	2012/03/30	70.0
<2	F29	3	3	2	2012/03/30	105.0
<2	F29	6	1	1	2012/03/30	133.0
<2	F29	6	1	2	2012/03/30	107.0
<2	F29	6	2	1	2012/03/30	123.0
<2	F29	6	2	2	2012/03/30	105.0
<2	F29	6	3	1	2012/03/30	106.0
<2	F29	6	3	2	2012/03/30	68.0
<2	F29	12	1	1	2012/03/30	96.0
<2	F29	12	1	2	2012/03/30	66.0
<2	F29	12	2	1	2012/03/30	93.0
<2	F29	12	2	2	2012/03/30	95.0
<2	F29	12	3	1	2012/03/30	97.0
<2	F29	12	3	2	2012/03/30	111.0
<2	F29	24	1	1	2012/03/30	132.0
<2	F29	24	1	2	2012/03/30	131.0
<2	F29	24	2	1	2012/03/30	135.0
<2	F29	24	2	2	2012/03/30	90.0
<2	F29	24	3	1	2012/03/30	121.0
<2	F29	24	3	2	2012/03/30	122.0
<2	F29	48	1	1	2012/03/30	114.0
<2	F29	48	1	2	2012/03/30	108.0
<2	F29	48	2	1	2012/03/30	110.0
<2	F29	48	2	2	2012/03/30	63.0
<2	F29	48	3	1	2012/03/30	98.0
<2	F29	48	3	2	2012/03/30	90.0
<2	F48	0	1	1	2012/03/30	130.0
<2	F48	0	1	2	2012/03/30	140.0
<2	F48	0	2	1	2012/03/30	102.0
<2	F48	0	2	2	2012/03/30	121.0
<2	F48	0	3	1	2012/03/30	119.0
<2	F48	0	3	2	2012/03/30	48.0
<2	F48	1.5	1	1	2012/03/30	99.0
<2	F48	1.5	1	2	2012/03/30	126.0
<2	F48	1.5	2	1	2012/03/30	55.0
<2	F48	1.5	2	2	2012/03/30	95.0
<2	F48	1.5	3	1	2012/03/30	52.0
<2	F48	1.5	3	2	2012/03/30	67.0
<2	F48	3	1	1	2012/03/30	122.0
<2	F48	3	1	2	2012/03/30	127.0
<2	F48	3	2	1	2012/03/30	107.0
<2	F48	3	2	2	2012/03/30	106.0
<2	F48	3	3	1	2012/03/30	108.0
<2	F48	3	3	2	2012/03/30	103.0
<2	F48	6	1	1	2012/03/30	49.0
<2	F48	6	1	2	2012/03/30	35.0
<2	F48	6	2	1	2012/03/30	68.0
<2	F48	6	2	2	2012/03/30	90.0
<2	F48	6	3	1	2012/03/30	106.0
<2	F48	6	3	2	2012/03/30	82.0
<2	F48	12	1	1	2012/03/30	103.0
<2	F48	12	1	2	2012/03/30	76.0
<2	F48	12	2	1	2012/03/30	102.0
<2	F48	12	2	2	2012/03/30	126.0
<2	F48	12	3	1	2012/03/30	56.0
<2	F48	12	3	2	2012/03/30	85.0
<2	F48	24	1	1	2012/03/30	74.0
<2	F48	24	1	2	2012/03/30	60.0
<2	F48	24	2	1	2012/03/30	101.0
<2	F48	24	2	2	2012/03/30	108.0
<2	F48	24	3	1	2012/03/30	84.0
<2	F48	24	3	2	2012/03/30	120.0
<2	F48	48	1	1	2012/03/30	126.0
<2	F48	48	1	2	2012/03/30	130.0
<2	F48	48	2	1	2012/03/30	115.0
<2	F48	48	2	2	2012/03/30	122.0
<2	F48	48	3	1	2012/03/30	103.0
<2	F48	48	3	2	2012/03/30	80.0
4 a 10	F29	0	1	1	2012/04/06	128.0
4 a 10	F29	0	1	2	2012/04/06	128.0
4 a 10	F29	0	2	1	2012/04/06	131.0
4 a 10	F29	0	2	2	2012/04/06	97.0
4 a 10	F29	0	3	1	2012/04/06	117.0
4 a 10	F29	0	3	2	2012/04/06	139.0
4 a 10	F29	1.5	1	1	2012/04/06	120.0
4 a 10	F29	1.5	1	2	2012/04/06	125.0
4 a 10	F29	1.5	2	1	2012/04/06	134.0
4 a 10	F29	1.5	2	2	2012/04/06	135.0
4 a 10	F29	1.5	3	1	2012/04/06	127.0
4 a 10	F29	1.5	3	2	2012/04/06	128.0
4 a 10	F29	3	1	1	2012/04/06	128.0
4 a 10	F29	3	1	2	2012/04/06	127.0
4 a 10	F29	3	2	1	2012/04/06	122.0
4 a 10	F29	3	2	2	2012/04/06	131.0
4 a 10	F29	3	3	1	2012/04/06	59.0
4 a 10	F29	3	3	2	2012/04/06	141.0
4 a 10	F29	6	1	1	2012/04/06	124.0
4 a 10	F29	6	1	2	2012/04/06	131.0
4 a 10	F29	6	2	1	2012/04/06	133.0
4 a 10	F29	6	2	2	2012/04/06	115.0
4 a 10	F29	6	3	1	2012/04/06	134.0
4 a 10	F29	6	3	2	2012/04/06	133.0
4 a 10	F29	12	1	1	2012/04/06	145.0
4 a 10	F29	12	1	2	2012/04/06	128.0
4 a 10	F29	12	2	1	2012/04/06	116.0
4 a 10	F29	12	2	2	2012/04/06	127.0
4 a 10	F29	12	3	1	2012/04/06	110.0
4 a 10	F29	12	3	2	2012/04/06	123.0
4 a 10	F29	24	1	1	2012/04/06	129.0
4 a 10	F29	24	1	2	2012/04/06	146.0
4 a 10	F29	24	2	1	2012/04/06	130.0
4 a 10	F29	24	2	2	2012/04/06	130.0
4 a 10	F29	24	3	1	2012/04/06	132.0
4 a 10	F29	24	3	2	2012/04/06	135.0
4 a 10	F29	48	1	1	2012/04/06	132.0
4 a 10	F29	48	1	2	2012/04/06	124.0
4 a 10	F29	48	2	1	2012/04/06	63.0
4 a 10	F29	48	2	2	2012/04/06	93.0
4 a 10	F29	48	3	1	2012/04/06	100.0
4 a 10	F29	48	3	2	2012/04/06	67.0
4 a 10	F48	0	1	1	2012/04/06	133.0
4 a 10	F48	0	1	2	2012/04/06	131.0
4 a 10	F48	0	2	1	2012/04/06	122.0
4 a 10	F48	0	2	2	2012/04/06	129.0
4 a 10	F48	0	3	1	2012/04/06	120.0
4 a 10	F48	0	3	2	2012/04/06	114.0
4 a 10	F48	1.5	1	1	2012/04/06	100.0
4 a 10	F48	1.5	1	2	2012/04/06	139.0
4 a 10	F48	1.5	2	1	2012/04/06	108.0
4 a 10	F48	1.5	2	2	2012/04/06	83.0
4 a 10	F48	1.5	3	1	2012/04/06	106.0
4 a 10	F48	1.5	3	2	2012/04/06	84.0
4 a 10	F48	3	1	1	2012/04/06	141.0
4 a 10	F48	3	1	2	2012/04/06	144.0
4 a 10	F48	3	2	1	2012/04/06	135.0
4 a 10	F48	3	2	2	2012/04/06	130.0
4 a 10	F48	3	3	1	2012/04/06	73.0
4 a 10	F48	3	3	2	2012/04/06	124.0
4 a 10	F48	6	1	1	2012/04/06	93.0
4 a 10	F48	6	1	2	2012/04/06	130.0
4 a 10	F48	6	2	1	2012/04/06	127.0
4 a 10	F48	6	2	2	2012/04/06	148.0
4 a 10	F48	6	3	1	2012/04/06	123.0
4 a 10	F48	6	3	2	2012/04/06	94.0
4 a 10	F48	12	1	1	2012/04/06	128.0
4 a 10	F48	12	1	2	2012/04/06	126.0
4 a 10	F48	12	2	1	2012/04/06	130.0
4 a 10	F48	12	2	2	2012/04/06	133.0
4 a 10	F48	12	3	1	2012/04/06	101.0
4 a 10	F48	12	3	2	2012/04/06	52.0
4 a 10	F48	24	1	1	2012/04/06	95.0
4 a 10	F48	24	1	2	2012/04/06	137.0
4 a 10	F48	24	2	1	2012/04/06	123.0
4 a 10	F48	24	2	2	2012/04/06	119.0
4 a 10	F48	24	3	1	2012/04/06	120.0
4 a 10	F48	24	3	2	2012/04/06	78.0
4 a 10	F48	48	1	1	2012/04/06	132.0
4 a 10	F48	48	1	2	2012/04/06	142.0
4 a 10	F48	48	2	1	2012/04/06	102.0
4 a 10	F48	48	2	2	2012/04/06	128.0
4 a 10	F48	48	3	1	2012/04/06	139.0
4 a 10	F48	48	3	2	2012/04/06	102.0
<2	F29	0	1	1	2012/04/06	122.0
<2	F29	0	1	2	2012/04/06	128.0
<2	F29	0	2	1	2012/04/06	100.0
<2	F29	0	2	2	2012/04/06	129.0
<2	F29	0	3	1	2012/04/06	114.0
<2	F29	0	3	2	2012/04/06	39.0
<2	F29	1.5	1	1	2012/04/06	131.0
<2	F29	1.5	1	2	2012/04/06	135.0
<2	F29	1.5	2	1	2012/04/06	125.0
<2	F29	1.5	2	2	2012/04/06	137.0
<2	F29	1.5	3	1	2012/04/06	127.0
<2	F29	1.5	3	2	2012/04/06	142.0
<2	F29	3	1	1	2012/04/06	130.0
<2	F29	3	1	2	2012/04/06	33.0
<2	F29	3	2	1	2012/04/06	127.0
<2	F29	3	2	2	2012/04/06	132.0
<2	F29	3	3	1	2012/04/06	117.0
<2	F29	3	3	2	2012/04/06	132.0
<2	F29	6	1	1	2012/04/06	131.0
<2	F29	6	1	2	2012/04/06	133.0
<2	F29	6	2	1	2012/04/06	134.0
<2	F29	6	2	2	2012/04/06	131.0
<2	F29	6	3	1	2012/04/06	136.0
<2	F29	6	3	2	2012/04/06	103.0
<2	F29	12	1	1	2012/04/06	132.0
<2	F29	12	1	2	2012/04/06	100.0
