agregado	familia	cinza	bloco	rept	data	altura
<2	F29	3	2	2	2012/03/01	4.8
<2	F29	3	3	1	2012/03/01	4.0
<2	F29	3	3	2	2012/03/01	5.3
<2	F29	6	1	1	2012/03/01	10.2
<2	F29	6	1	2	2012/03/01	8.2
<2	F29	6	2	1	2012/03/01	7.1
<2	F29	6	2	2	2012/03/01	5.4
<2	F29	6	3	1	2012/03/01	7.0
<2	F29	6	3	2	2012/03/01	6.0
<2	F29	12	1	1	2012/03/01	4.2
<2	F29	12	1	2	2012/03/01	4.7
<2	F29	12	2	1	2012/03/01	5.0
<2	F29	12	2	2	2012/03/01	4.5
<2	F29	12	3	1	2012/03/01	8.6
<2	F29	12	3	2	2012/03/01	6.0
<2	F29	24	1	1	2012/03/01	9.2
<2	F29	24	1	2	2012/03/01	8.6
<2	F29	24	2	1	2012/03/01	10.9
<2	F29	24	2	2	2012/03/01	8.2
<2	F29	24	3	1	2012/03/01	8.7
<2	F29	24	3	2	2012/03/01	8.2
<2	F29	48	1	1	2012/03/01	4.6
<2	F29	48	1	2	2012/03/01	4.1
<2	F29	48	2	1	2012/03/01	9.7
<2	F29	48	2	2	2012/03/01	5.0
<2	F29	48	3	1	2012/03/01	4.5
<2	F29	48	3	2	2012/03/01	4.2
<2	F48	0	1	1	2012/03/01	9.6
<2	F48	0	1	2	2012/03/01	9.0
<2	F48	0	2	1	2012/03/01	11.5
<2	F48	0	2	2	2012/03/01	12.0
<2	F48	0	3	1	2012/03/01	8.0
<2	F48	0	3	2	2012/03/01	5.5
<2	F48	1.5	1	1	2012/03/01	6.2
<2	F48	1.5	1	2	2012/03/01	7.7
<2	F48	1.5	2	1	2012/03/01	4.0
<2	F48	1.5	2	2	2012/03/01	5.5
<2	F48	1.5	3	1	2012/03/01	5.0
<2	F48	1.5	3	2	2012/03/01	5.4
<2	F48	3	1	1	2012/03/01	9.3
<2	F48	3	1	2	2012/03/01	9.2
<2	F48	3	2	1	2012/03/01	8.5
<2	F48	3	2	2	2012/03/01	4.5
<2	F48	3	3	1	2012/03/01	8.2
<2	F48	3	3	2	2012/03/01	10.0
<2	F48	6	1	1	2012/03/01	4.0
<2	F48	6	1	2	2012/03/01	3.2
<2	F48	6	2	1	2012/03/01	5.2
<2	F48	6	2	2	2012/03/01	5.6
<2	F48	6	3	1	2012/03/01	4.5
<2	F48	6	3	2	2012/03/01	6.4
<2	F48	12	1	1	2012/03/01	6.2
<2	F48	12	1	2	2012/03/01	4.7
<2	F48	12	2	1	2012/03/01	6.5
<2	F48	12	2	2	2012/03/01	9.0
<2	F48	12	3	1	2012/03/01	6.7
<2	F48	12	3	2	2012/03/01	6.1
<2	F48	24	1	1	2012/03/01	5.4
<2	F48	24	1	2	2012/03/01	5.2
<2	F48	24	2	1	2012/03/01	5.7
<2	F48	24	2	2	2012/03/01	7.3
<2	F48	24	3	1	2012/03/01	7.0
<2	F48	24	3	2	2012/03/01	6.4
<2	F48	48	1	1	2012/03/01	8.0
<2	F48	48	1	2	2012/03/01	10.3
<2	F48	48	2	1	2012/03/01	9.4
<2	F48	48	2	2	2012/03/01	9.5
<2	F48	48	3	1	2012/03/01	8.2
<2	F48	48	3	2	2012/03/01	7.7
4 a 10	F29	0	1	1	2012/03/09	12.4
4 a 10	F29	0	1	2	2012/03/09	12.0
4 a 10	F29	0	2	1	2012/03/09	10.0
4 a 10	F29	0	2	2	2012/03/09	7.5
4 a 10	F29	0	3	1	2012/03/09	9.5
4 a 10	F29	0	3	2	2012/03/09	8.5
4 a 10	F29	1.5	1	1	2012/03/09	18.0
4 a 10	F29	1.5	1	2	2012/03/09	14.0
4 a 10	F29	1.5	2	1	2012/03/09	10.5
4 a 10	F29	1.5	2	2	2012/03/09	12.0
4 a 10	F29	1.5	3	1	2012/03/09	11.5
4 a 10	F29	1.5	3	2	2012/03/09	12.3
4 a 10	F29	3	1	1	2012/03/09	8.0
4 a 10	F29	3	1	2	2012/03/09	12.0
4 a 10	F29	3	2	1	2012/03/09	10.0
4 a 10	F29	3	2	2	2012/03/09	15.5
4 a 10	F29	3	3	1	2012/03/09	6.0
4 a 10	F29	3	3	2	2012/03/09	11.0
4 a 10	F29	6	1	1	2012/03/09	19.0
4 a 10	F29	6	1	2	2012/03/09	16.5
4 a 10	F29	6	2	1	2012/03/09	12.0
4 a 10	F29	6	2	2	2012/03/09	10.0
4 a 10	F29	6	3	1	2012/03/09	13.8
4 a 10	F29	6	3	2	2012/03/09	12.0
4 a 10	F29	12	1	1	2012/03/09	13.5
4 a 10	F29	12	1	2	2012/03/09	11.0
4 a 10	F29	12	2	1	2012/03/09	6.0
4 a 10	F29	12	2	2	2012/03/09	10.3
4 a 10	F29	12	3	1	2012/03/09	8.5
4 a 10	F29	12	3	2	2012/03/09	6.5
4 a 10	F29	24	1	1	2012/03/09	13.8
4 a 10	F29	24	1	2	2012/03/09	14.0
4 a 10	F29	24	2	1	2012/03/09	12.5
4 a 10	F29	24	2	2	2012/03/09	17.0
4 a 10	F29	24	3	1	2012/03/09	12.5
4 a 10	F29	24	3	2	2012/03/09	14.5
4 a 10	F29	48	1	1	2012/03/09	9.0
4 a 10	F29	48	1	2	2012/03/09	10.
