preco	area	nquart	nbanh	nvaga	nsuit	bairro
485000	110	3	2	1	1	Agua Verde
1400000	172	3	4	3	1	Agua Verde
650000	158	4	4	2	1	Agua Verde
580000	116	3	1	1	1	Agua Verde
297000	64	2	2	2	1	Agua Verde
880000	135	4	3	2	1	Agua Verde
790000	143.08	3	1	2	1	Agua Verde
480000	102	3	2	1	1	Agua Verde
850000	113	3	2	2	1	Agua Verde
995000	162.11	4	4	2	2	Agua Verde
533696	67.64	2	1	2	1	Agua Verde
220000	53	2	1	1	NA	Agua Verde
1050000	434	3	NA	2	2	Agua Verde
3300000	857	4	NA	4	4	Agua Verde
1000000	164	3	4	2	3	Agua Verde
800000	283	3	NA	2	1	Agua Verde
600000	136	3	3	2	1	Agua Verde
2100000	427	3	NA	4	4	Agua Verde
260000000	58	NA	1	1	NA	Agua Verde
600000	130	3	3	2	1	Agua Verde
185000	31.36	1	NA	NA	NA	Agua Verde
450000	86	3	2	2	1	Agua Verde
755210	96	3	3	2	1	Agua Verde
1600000	355	4	5	4	2	Agua Verde
298000	70	2	2	1	NA	Agua Verde
644900	119	3	3	2	1	Agua Verde
892600	129	3	5	2	3	Agua Verde
374990	91	3	2	1	1	Agua Verde
650000	116	3	3	1	1	Agua Verde
280000	47	2	2	1	1	Agua Verde
520000	94	3	4	2	1	Agua Verde
1300000	284	4	6	3	4	Agua Verde
1232389	139.95	3	1	2	1	Agua Verde
1217460	139.95	3	1	2	1	Agua Verde
480000	93	3	2	NA	1	Agua Verde
690000	158	3	3	2	1	Agua Verde
857900	155	3	5	2	2	Agua Verde
298000	70	3	2	1	1	Agua Verde
315000	72	3	2	1	1	Agua Verde
257900	35	1	1	1	NA	Agua Verde
444500	77	2	2	2	1	Agua Verde
369000	62	2	1	1	1	Agua Verde
538639	NA	3	NA	2	1	Agua Verde
580000	93	3	2	2	1	Agua Verde
521000	94	3	1	NA	1	Agua Verde
341100	47	1	1	1	1	Agua Verde
480000	107	3	2	1	1	Agua Verde
755210	96	3	3	2	1	Agua Verde
444420	77	2	2	2	1	Agua Verde
651000	119	3	3	2	1	Agua Verde
444515	77	2	2	2	1	Agua Verde
1500000	279	4	6	4	2	Agua Verde
750000	126	3	4	2	1	Agua Verde
430000	150	4	3	1	1	Agua Verde
530000	102	3	3	1	1	Agua Verde
199800	46	2	1	1	NA	Agua Verde
374990	91	3	2	1	1	Agua Verde
230000	87	2	1	1	NA	Agua Verde
550000	135	2	2	2	1	Agua Verde
439200	62	2	2	2	1	Agua Verde
255000	54	2	1	1	NA	Agua Verde
1050000	155	3	3	2	1	Agua Verde
341000	47	1	1	1	1	Agua Verde
460000	113	3	2	1	1	Agua Verde
341130	47	1	1	1	1	Agua Verde
460000	75	2	2	2	1	Agua Verde
1000000	183	4	4	2	2	Agua Verde
1580000	350	4	NA	6	4	Agua Verde
610000	103	3	3	1	1	Agua Verde
249900	34	1	1	1	NA	Agua Verde
1160000	134	4	2	3	1	Agua Verde
2200000	240	2	5	4	2	Agua Verde
341130	47	1	1	1	1	Agua Verde
749900	126	4	4	2	1	Agua Verde
525000	93	3	2	2	1	Agua Verde
616000	124	2	3	NA	1	Agua Verde
600000	114	3	3	2	1	Agua Verde
1064000	147.3	3	NA	2	1	Agua Verde
2845000	308	4	5	4	4	Agua Verde
444515	77	2	2	2	1	Agua Verde
689700	105	3	3	2	1	Agua Verde
1386000	244	3	6	3	3	Agua Verde
450000	107	2	2	1	NA	Agua Verde
755210	96	3	3	2	1	Agua Verde
341130	47	1	1	1	1	Agua Verde
1787000	308	4	6	3	2	Agua Verde
980000	213	4	NA	3	1	Agua Verde
321300	47	1	1	1	NA	Agua Verde
230000	89	3	2	1	NA	Agua Verde
425000	91	3	2	1	1	Agua Verde
1090400	168	2	5	3	2	Agua Verde
620000	214	3	NA	2	1	Agua Verde
448000	91	3	3	1	1	Agua Verde
690000	158	3	3	2	1	Agua Verde
768803	119	2	3	2	1	Agua Verde
635000	117	3	3	1	1	Agua Verde
799900	129	3	4	2	1	Agua Verde
519900	94	3	4	2	1	Agua Verde
230000	69.52	3	2	1	NA	Agua Verde
562588	92.74	3	1	2	1	Agua Verde
205000	45	2	1	1	NA	Agua Verde
668000	118	3	2	2	1	Agua Verde
730000	145	3	6	2	3	Agua Verde
655900	119	3	4	2	1	Agua Verde
230000	87	2	1	1	NA	Agua Verde
782700	96	3	3	2	2	Agua Verde
255000	63	2	1	1	1	Agua Verde
755210	96	3	3	2	1	Agua Verde
477000	99	4	2	1	1	Agua Verde
350000	80	3	1	1	1	Agua Verde
564170	NA	3	NA	2	1	Agua Verde
1080000	243	6	4	2	1	Agua Verde
1739900	181	4	5	2	2	Agua Verde
460000	76	2	2	2	1	Agua Verde
230000	87	2	1	1	NA	Agua Verde
1320000	188	4	3	3	2	Agua Verde
550000	94	3	2	2	1	Agua Verde
450000	76	2	2	2	1	Agua Verde
445000	94	2	1	1	1	Agua Verde
476000	85	2	3	2	2	Agua Verde
655000	116	3	NA	2	1	Agua Verde
589000	93.9	3	NA	2	1	Agua Verde
550000	124	3	NA	1	1	Agua Verde
