preco	area	nquart	nbanh	nvaga	nsuit	bairro
435000	84.04	3	2	1	1	Agua Verde
540000	201.6	3	NA	1	NA	Agua Verde
345000	107	3	NA	NA	NA	Agua Verde
1350000	252.4	4	NA	2	2	Agua Verde
1042500	139.8	3	NA	2	NA	Agua Verde
435000	75	2	2	2	1	Agua Verde
650000	124	3	3	3	1	Agua Verde
662400	119	3	4	2	1	Agua Verde
1801100	290	3	1	4	3	Agua Verde
779900	129	3	1	2	3	Agua Verde
500000	87.63	3	NA	2	1	Agua Verde
520000	124.69	3	NA	1	1	Agua Verde
220000	50.1	2	NA	1	NA	Agua Verde
175000	30.27	1	NA	NA	NA	Agua Verde
600000	130	3	1	1	1	Agua Verde
650000	107.44	3	3	2	1	Agua Verde
340000	128	2	1	2	NA	Agua Verde
395000	89	3	2	1	1	Agua Verde
927000	123	3	2	3	1	Agua Verde
360000	66	3	2	2	1	Agua Verde
802000	94	3	NA	2	NA	Agua Verde
470000	83	3	NA	2	1	Agua Verde
465000	71.23	3	NA	2	NA	Agua Verde
908000	124	3	NA	2	1	Agua Verde
550000	125	3	3	1	1	Agua Verde
821000	137.8	3	NA	1	NA	Agua Verde
538700	91	3	NA	2	NA	Agua Verde
749900	126	4	4	2	1	Agua Verde
800000	140	3	5	3	3	Agua Verde
374990	91	3	2	1	1	Agua Verde
514000	75	2	2	2	1	Agua Verde
495000	90	3	1	2	1	Agua Verde
800000	174.25	3	NA	2	NA	Agua Verde
600000	87.63	3	2	2	1	Agua Verde
900000	119.77	3	3	3	2	Agua Verde
730000	159	3	2	2	1	Agua Verde
900000	170	4	4	3	1	Agua Verde
750000	185	4	5	2	2	Agua Verde
534100	77.09	2	2	2	1	Agua Verde
600000	146	3	5	2	3	Agua Verde
340000	61	3	2	1	1	Agua Verde
950000	158.14	3	5	2	3	Agua Verde
550000	87	3	3	2	1	Agua Verde
720000	105	3	3	2	1	Agua Verde
480000	104	3	2	2	1	Agua Verde
320000	52	2	2	1	NA	Agua Verde
340000	65	2	2	1	1	Agua Verde
650000	100	3	3	2	1	Agua Verde
500000	115	3	2	1	1	Agua Verde
500650	75	2	2	1	1	Agua Verde
685500	96	3	1	1	1	Agua Verde
519900	94	3	4	2	1	Agua Verde
1394200	193	4	1	3	2	Agua Verde
545200	85	2	2	2	2	Agua Verde
1338750	181	4	2	3	2	Agua Verde
1394200	193	3	NA	3	3	Agua Verde
711500	119	3	1	2	1	Agua Verde
599900	105	3	NA	2	1	Agua Verde
230000	64	3	NA	1	1	Agua Verde
420000	93	3	2	1	1	Agua Verde
780000	195	4	3	2	2	Agua Verde
360000	82	2	2	1	1	Agua Verde
1161800	133	3	5	3	3	Agua Verde
1350000	198	4	3	3	2	Agua Verde
970000	197	3	2	2	1	Agua Verde
470000	95	3	3	1	1	Agua Verde
850000	149	3	2	2	1	Agua Verde
430000	75	3	2	1	1	Agua Verde
520000	115	3	NA	1	NA	Agua Verde
430000	100	3	3	2	1	Agua Verde
750000	198	4	5	2	2	Agua Verde
275574	34.75	1	1	NA	NA	Agua Verde
490000	94	2	1	2	2	Agua Verde
1493500	181.28	4	4	2	3	Agua Verde
507040	85.67	2	3	2	2	Agua Verde
475000	95	3	2	1	1	Agua Verde
687209	98.53	2	1	2	NA	Agua Verde
790000	113	3	2	2	1	Agua Verde
620000	109.5	3	2	2	NA	Agua Verde
650000	116	3	2	1	1	Agua Verde
260000	50	1	1	1	NA	Agua Verde
1838640	233	3	3	3	1	Agua Verde
235000	58.22	3	1	1	NA	Agua Verde
330000	65	2	1	1	1	Agua Verde
980000	NA	4	2	2	3	Agua Verde
430000	61	2	1	1	1	Agua Verde
485000	120	3	4	1	1	Agua Verde
559000	105	3	3	2	1	Agua Verde
730000	159	3	4	2	1	Agua Verde
510000	102	3	NA	1	1	Agua Verde
525000	88.77	2	NA	2	1	Agua Verde
755210	96	3	3	2	1	Agua Verde
465000	76	2	2	2	1	Agua Verde
265000	68	3	2	1	1	Agua Verde
800000	159	3	4	2	1	Agua Verde
428000	114.07	3	4	1	1	Agua Verde
730000	150	3	3	2	1	Agua Verde
405000	96	2	2	1	1	Agua Verde
1990000	219.76	3	4	3	3	Agua Verde
2775700	308	4	4	4	4	Agua Verde
950000	246	3	NA	2	3	Agua Verde
149000	27	1	1	NA	NA	Agua Verde
565000	103	3	3	2	1	Agua Verde
595000	129	3	2	2	1	Agua Verde
920000	164	3	5	2	3	Agua Verde
610000	116	3	3	1	1	Agua Verde
2500000	242	4	6	3	4	Agua Verde
857000	150	3	5	2	3	Agua Verde
380000	100	3	3	1	1	Agua Verde
765000	196	4	NA	2	2	Agua Verde
786700	120	3	3	2	1	Agua Verde
470000	83	3	2	2	1	Agua Verde
397000	107	3	2	1	1	Agua Verde
1620000	290	4	NA	3	NA	Agua Verde
930000	270	4	NA	3	NA	Agua Verde
970000	179	3	2	2	1	Agua Verde
1300000	180	3	NA	2	3	Agua Verde
548000	102	3	1	1	1	Agua Verde
445000	66	2	2	1	1	Agua Verde
429889	96	3	3	1	1	Agua Verde
509000	75	2	3	2	1	Agua Verde
730000	126	4	1	2	1	Agua Verde
570945	100	3	3	2	1	Agua Verde
445000	77	2	1	2	1	Agua Verde
657000	94	3	3	2	1	Agua Verde
230000	55.7	3	1	1	NA	Agua Verde
679000	105	3	1	2	1	Agua Verde
485000	101	3	2	2	1	Agua Verde
1150000	380	4	5	3	4	Agua Verde
2775700	308	4	4	4	4	Agua Verde
579231	119	2	2	2	1	Agua Verde
245000	46	2	1	1	NA	Agua Verde
370000	70	3	2	2	1	Agua Verde
340000	62	3	2	1	1	Agua Verde
900000	183	3	2	2	NA	Agua Verde
1136509	133	3	4	3	3	Agua Verde
679000	96	3	1	2	1	Agua Verde
1418500	181	4	4	4	3	Agua Verde
427000	75	2	2	2	1	Agua Verde
495000	NA	3	NA	2	NA	Agua Verde
298000	67	2	2	1	1	Agua Verde
369000	78.1	2	2	1	1	Agua Verde
1098884	160	3	4	2	3	Agua Verde
1050000	319.02	2	NA	2	NA	Agua Verde
476000	71.23	3	NA	2	NA	Agua Verde
2935850	308	3	4	3	3	Agua Verde
615000	162.09	3	NA	2	NA	Agua Verde
750000	136	3	3	2	1	Agua Verde
390000	86	3	2	1	1	Agua Verde
780000	195.5	4	5	2	2	Agua Verde
470000	120	3	2	1	1	Agua Verde
470000	104	3	2	1	1	Agua Verde
1350000	190	4	5	4	2	Agua Verde
580000	115	3	3	2	1	Agua Verde
730400	121.48	3	3	2	2	Agua Verde
559900	105	3	2	2	1	Agua Verde
650000	107.4	3	NA	2	NA	Agua Verde
749210	96	3	3	2	2	Agua Verde
687895	98.64	2	1	2	NA	Agua Verde
670000	131.9	2	1	2	NA	Agua Verde
597417	119.41	2	2	2	1	Agua Verde
1133650	133.57	4	3	3	1	Agua Verde
525000	71.9	NA	NA	2	NA	Agua Verde
1398500	181.28	4	5	3	2	Agua Verde
410000	71	2	1	2	NA	Agua Verde
650000	127	3	2	2	2	Agua Verde
530000	119.42	3	NA	NA	1	Agua Verde
545000	117	3	1	2	1	Agua Verde
510000	134	3	4	1	1	Agua Verde
599900	95	3	2	2	NA	Agua Verde
1150000	250	4	NA	4	4	Agua Verde
1350000	190	4	3	4	2	Agua Verde
265000	80	3	2	1	NA	Agua Verde
1200000	NA	4	NA	2	3	Agua Verde
695000	NA	4	2	1	1	Agua Verde
595000	123	3	4	1	1	Agua Verde
685000	124.47	3	3	2	NA	Agua Verde
1420000000	170	3	4	3	1	Agua Verde
580000	71	2	2	1	1	Agua Verde
370000	90	3	NA	1	NA	Agua Verde
430000	97	3	2	2	1	Agua Verde
430000	62	2	2	1	1	Agua Verde
480000	103	3	3	2	1	Agua Verde
927400	152	3	NA	3	NA	Agua Verde
480000	103	3	3	2	1	Agua Verde
235000	62.46	3	1	NA	NA	Agua Verde
880000	204	4	5	2	2	Agua Verde
248000	30	NA	NA	1	1	Agua Verde
395000	75	2	2	2	1	Agua Verde
385000	89	3	3	1	1	Agua Verde
320000	80	3	1	1	NA	Agua Verde
280000	77	3	2	1	1	Agua Verde
1550000	536	4	6	4	4	Agua Verde
260000	49.41	1	1	1	NA	Agua Verde
520000	88	3	NA	2	1	Agua Verde
635000	136	4	1	2	1	Agua Verde
595000	170	4	3	2	1	Agua Verde
315000	70	3	2	1	1	Agua Verde
250000	68.63	3	2	NA	NA	Agua Verde
629900	120	3	NA	1	2	Agua Verde
765000	NA	4	NA	2	NA	Agua Verde
450000	123.51	3	1	1	1	Agua Verde
450000	196	3	1	1	1	Agua Verde
1250000	225	NA	NA	3	NA	Agua Verde
750000	116	3	3	2	1	Agua Verde
495000	85.67	2	2	2	2	Agua Verde
280000	65	2	2	1	NA	Agua Verde
470000	100	3	3	2	1	Agua Verde
605000	93	2	2	2	1	Agua Verde
360000	70	3	2	2	1	Agua Verde
640000	135	3	4	1	2	Agua Verde
1200000	251	4	5	2	2	Agua Verde
260000	54	2	1	1	NA	Agua Verde
1407100	193	4	NA	3	2	Agua Verde
1817000	290	4	NA	4	2	Agua Verde
270000	75	3	2	1	NA	Agua Verde
297000	64	2	2	2	1	Agua Verde
460000	75	2	2	2	1	Agua Verde
500000	102.23	3	NA	1	1	Agua Verde
375000	72	3	2	1	1	Agua Verde
635000	136	4	1	2	1	Agua Verde
535000	75	2	2	2	1	Agua Verde
1100000	259.3	3	1	2	NA	Agua Verde
1500000	182.3	3	NA	2	NA	Agua Verde
839632	130.85	2	NA	2	1	Agua Verde
469094	77.48	2	NA	2	1	Agua Verde
375000	68.9	3	1	1	NA	Agua Verde
479000	101.4	3	1	1	NA	Agua Verde
400000	102.27	3	2	1	1	Agua Verde
435000	110.5	3	1	1	NA	Agua Verde
348000	85	3	2	1	1	Agua Verde
530000	85.67	2	2	2	2	Agua Verde
460000	106.19	3	3	2	1	Agua Verde
1030000	210	3	4	2	1	Agua Verde
661870	119.77	3	3	2	2	Agua Verde
534900	116.41	3	2	2	1	Agua Verde
1600000	220	3	NA	NA	NA	Agua Verde
2629500	308.34	4	4	4	4	Agua Verde
370000	61	2	NA	1	NA	Agua Verde
927400	123	3	NA	3	NA	Agua Verde
590000	94	3	NA	2	NA	Agua Verde
535000	89	2	NA	2	1	Agua Verde
650000	94	3	1	2	1	Agua Verde
549900	94.64	3	2	2	1	Agua Verde
350000	76	3	NA	1	1	Agua Verde
759000	214	2	NA	2	NA	Agua Verde
585000	94	3	NA	1	1	Agua Verde
350000	76	3	NA	1	1	Agua Verde
759000	214	2	NA	2	NA	Agua Verde
585000	94	3	NA	1	1	Agua Verde
370000	110	3	NA	1	1	Agua Verde
340000	96	3	2	1	1	Agua Verde
240000	65	3	1	1	NA	Agua Verde
349000	130	3	3	2	1	Agua Verde
530000	75	2	2	2	1	Agua Verde
230000	58.8	2	NA	1	NA	Agua Verde
230000	79	3	1	1	NA	Agua Verde
200000	52	2	1	1	NA	Agua Verde
500000	100.64	3	NA	1	1	Agua Verde
2714000	328	4	NA	5	2	Agua Verde
570000	99	3	2	2	1	Agua Verde
416000	NA	2	2	2	1	Agua Verde
1180000	385	4	3	3	2	Agua Verde
365000	61.17	2	NA	1	1	Agua Verde
650000	94	2	2	2	2	Agua Verde
822000	202	3	3	2	1	Agua Verde
699900	105	3	1	2	1	Agua Verde
530000	95	3	NA	2	1	Agua Verde
920000	183.5	4	NA	3	1	Agua Verde
1145000	228	4	3	NA	3	Agua Verde
833000	255	3	NA	2	1	Agua Verde
460000	75	2	NA	2	1	Agua Verde
1190000	228	4	3	NA	3	Agua Verde
526150	95.5	2	NA	2	1	Agua Verde
730000	154.68	3	NA	3	2	Agua Verde
1215000	228	4	3	NA	3	Agua Verde
730000	159	3	3	2	1	Agua Verde
1000000	225	3	4	3	3	Agua Verde
680000	110	3	4	2	1	Agua Verde
600000	102	3	2	1	1	Agua Verde
460000	102	3	2	2	1	Agua Verde
1050000	NA	3	3	2	1	Agua Verde
650000	108	3	2	2	1	Agua Verde
906047	201	3	3	2	3	Agua Verde
532544	100.75	3	2	2	NA	Agua Verde
682000	119	3	3	2	1	Agua Verde
570945	100.75	3	2	2	1	Agua Verde
557789	100.75	3	2	2	1	Agua Verde
298000	70	3	2	1	1	Agua Verde
900000	178	4	3	2	1	Agua Verde
225000	55	2	1	NA	NA	Agua Verde
882000	163	3	4	2	3	Agua Verde
800000	139	3	5	2	3	Agua Verde
537939	77	2	1	2	1	Agua Verde
571170	85	2	3	2	2	Agua Verde
420000	63	3	2	1	1	Agua Verde
510000	102	3	3	1	1	Agua Verde
1070000	188	4	4	3	2	Agua Verde
510000	86	3	2	2	1	Agua Verde
280000	76	3	1	1	NA	Agua Verde
395026	80	3	2	1	1	Agua Verde
340000	63	3	2	1	1	Agua Verde
750000	136	4	4	3	1	Agua Verde
488000	103	3	2	3	1	Agua Verde
900000	519.8	4	NA	NA	NA	Agua Verde
375000	70	3	1	1	NA	Agua Verde
644112	115	2	2	2	1	Agua Verde
850000	211	4	5	2	2	Agua Verde
278000	77	2	2	1	NA	Agua Verde
495000	87	3	3	2	1	Agua Verde
1950000	350	4	5	3	4	Agua Verde
160000	32	1	1	NA	NA	Agua Verde
752125	120	3	NA	2	1	Agua Verde
1160600	134	3	1	3	3	Agua Verde
650000	102	3	3	2	1	Agua Verde
759900	96	3	1	2	1	Agua Verde
2829350	308	4	2	4	3	Agua Verde
259000	59	3	2	1	NA	Agua Verde
663848	86	2	NA	2	2	Agua Verde
424000	123	2	1	1	1	Agua Verde
442200	77	2	2	2	1	Agua Verde
768581	120	2	NA	2	1	Agua Verde
595000	94.64	3	2	2	1	Agua Verde
