## Experimento de responsabilidade de Milson Evaldo Serafim
## (http://lattes.cnpq.br/8676820051946774) que avaliou o nível de cinza
## para compor substratos para mudas de maracujazeiro também com solo
## composto de agregados de diferentes tamanhos e cultivados com duas
## famílias da espécie. O experimento foi feito em blocos (3) e o
## arranjo experimental de fatorial triplo com duas repetições por
## bloco. Variáveis de parte aérea foram observadas conforme descrição
## abaixo.
##
## agreg  : fator de 2 níveis, classe de tamanho dos agragados;
## fam    : fator de 2 níveis, família do maracujá;
## cinz   : fator de 7 níveis, aplicação de cinza (ton ha^{-1});
## bloc   : blocos experimentais;
## rept   : unidade experimental dentro do bloco;
## mfpa   : massa fresca de parte aérea (g);
## mspa   : massa seca de parte aérea (g);
## ds     : densidade do solo (mg m^{-3});
## cav    : consumo de água durante o ciclo por vaso (1 planta) mL;
##
agreg	fam	cinz	bloc	rept	mfpa	mspa	ds	cav
[0,2]	F29	0	1	2	34.32	9.68	1.27	9264.00
[0,2]	F29	0	2	1	34.54	7.11	1.24	3827.00
[0,2]	F29	0	2	2	59.97	12.53	1.32	5175.00
[0,2]	F29	0	3	1	36.3	9.28	1.22	5444.00
[0,2]	F29	0	3	2	11.02	2.82	1.28	6990.00
[0,2]	F29	1.5	1	1	44.91	11.50	1.18	7228.00
[0,2]	F29	1.5	1	2	27.51	6.71	1.12	7490.00
[0,2]	F29	1.5	2	1	30.33	7.38	1.21	6700.00
[0,2]	F29	1.5	2	2	53.48	12.46	1.33	5137.00
[0,2]	F29	1.5	3	1	47.92	10.92	1.22	5485.00
[0,2]	F29	1.5	3	2	41.56	10.33	1.24	5866.00
[0,2]	F29	3	1	1	26.93	6.75	1.27	7508.00
[0,2]	F29	3	1	2	11.4	2.50	1.33	6585.00
[0,2]	F29	3	2	1	45.04	12.26	1.23	5410.00
[0,2]	F29	3	2	2	46.34	10.38	1.33	4973.00
[0,2]	F29	3	3	1	47.25	9.06	1.36	4922.00
[0,2]	F29	3	3	2	41.4	10.30	1.33	5616.00
[0,2]	F29	6	1	1	57.56	12.43	1.13	5066.00
[0,2]	F29	6	1	2	49.28	10.59	1.14	4381.00
[0,2]	F29	6	2	1	56.85	12.01	1.13	4900.00
[0,2]	F29	6	2	2	30.35	7.86	1.23	6025.00
[0,2]	F29	6	3	1	45.51	9.66	1.31	3990.00
[0,2]	F29	6	3	2	46.08	9.85	1.29	3582.00
[0,2]	F29	12	1	1	52.81	9.77	1.13	3548.00
[0,2]	F29	12	1	2	39.07	7.02	1.14	3165.00
[0,2]	F29	12	2	1	33.65	7.86	1.20	4822.00
[0,2]	F29	12	2	2	27.9	6.62	1.18	5384.00
[0,2]	F29	12	3	1	60.38	11.16	1.16	4521.00
[0,2]	F29	12	3	2	55.72	13.67	1.15	4906.00
[0,2]	F29	24	1	1	65.58	13.45	1.19	4698.00
[0,2]	F29	24	1	2	67.83	14.83	1.10	4876.00
[0,2]	F29	24	2	1	61.48	14.17	1.09	5143.00
[0,2]	F29	24	2	2	26.7	7.77	1.09	5904.00
[0,2]	F29	24	3	1	55.47	11.76	1.11	4656.00
[0,2]	F29	24	3	2	54.36	10.96	1.19	3969.00
[0,2]	F29	48	1	1	59.67	11.77	1.07	4595.00
[0,2]	F29	48	1	2	50.37	10.56	1.08	4415.00
[0,2]	F29	48	2	1	67.71	10.90	1.06	5677.00
[0,2]	F29	48	2	2	28.77	15.52	1.09	5150.00
[0,2]	F29	48	3	1	53.51	11.93	1.13	4388.00
[0,2]	F29	48	3	2	46.5	10.83	1.06	3865.00
[0,2]	F48	0	1	1	61.91	13.45	1.31	4954.00
[0,2]	F48	0	1	2	58.59	12.72	1.34	6176.00
[0,2]	F48	0	2	1	22.92	5.60	1.23	7786.00
[0,2]	F48	0	2	2	40.3	11.06	1.31	6914.00
[0,2]	F48	0	3	1	55.7	12.81	1.23	4688.00
[0,2]	F48	0	3	2	25.01	4.64	1.31	2640.00
[0,2]	F48	1.5	1	1	63.72	12.36	1.45	4338.00
[0,2]	F48	1.5	1	2	68.04	15.24	1.40	4881.00
[0,2]	F48	1.5	2	1	39.11	8.28	1.05	5261.00
[0,2]	F48	1.5	2	2	37.23	9.17	1.25	4840.00
[0,2]	F48	1.5	3	1	34.33	6.23	1.31	3420.00
[0,2]	F48	1.5	3	2	31.8	5.05	1.28	3222.00
[0,2]	F48	3	1	1	54.06	13.13	1.24	7104.00
[0,2]	F48	3	1	2	55.59	13.56	1.24	6291.00
[0,2]	F48	3	2	1	29.15	6.25	1.24	5347.00
[0,2]	F48	3	2	2	50.51	11.0	1.34	4556.00
[0,2]	F48	3	3	1	60.2	13.21	1.38	4182.00
[0,2]	F48	3	3	2	51.16	10.72	1.29	4805.00
[0,2]	F48	6	1	1	15.8	3.00	1.21	5590.00
[0,2]	F48	6	1	2	17.34	3.56	1.29	5577.00
[0,2]	F48	6	2	1	53.35	9.9	1.24	4154.00
[0,2]	F48	6	2	2	60.55	4.72	0.92	5219.00
[0,2]	F48	6	3	1	29.32	7.56	1.22	6142.00
[0,2]	F48	6	3	2	73.27	15.32	1.24	5688.00
[0,2]	F48	12	1	1	69.57	12.50	1.15	5422.00
[0,2]	F48	12	1	2	31.48	6.71	1.15	5322.00
[0,2]	F48	12	2	1	61.01	12.77	1.01	5560.00
[0,2]	F48	12	2	2	44.09	11.03	1.20	6821.00
[0,2]	F48	12	3	1	15.83	3.61	1.18	8026.00
[0,2]	F48	12	3	2	21.38	5.30	1.18	7170.00
[0,2]	F48	24	1	1	50.29	9.05	1.09	4406.00
[0,2]	F48	24	1	2	43.95	7.53	1.07	4636.00
[0,2]	F48	24	2	1	68.55	13.7	0.97	5897.00
[0,2]	F48	24	2	2	66.42	14.41	1.08	5766.00
[0,2]	F48	24	3	1	34.48	8.04	0.86	8022.00
[0,2]	F48	24	3	2	60.38	12.28	1.04	5902.00
[0,2]	F48	48	1	1	61.3	14.11	1.05	6124.00
[0,2]	F48	48	1	2	77.7	16.52	1.01	6253.00
[0,2]	F48	48	2	1	80.55	18.00	1.04	6602.00
[0,2]	F48	48	2	2	46.02	11.16	1.01	6441.00
[0,2]	F48	48	3	1	57.83	13.08	1.02	5109.00
[0,2]	F48	48	3	2	48.79	8.55	0.92	5777.00
