fosf	dia	fonte	solo	rept
31.5	240	SOR	AL	1
31.97	240	SOR	AL	2
34.76	240	SOR	AL	3
16.19	240	TUR	AL	1
11.97	240	TUR	AL	2
11.58	240	TUR	AL	3
17.31	240	EEQ	AL	1
16.76	240	EEQ	AL	2
17.05	240	EEQ	AL	3
13.75	240	LE1	LVA	1
12.36	240	LE1	LVA	2
13.83	240	LE1	LVA	3
13.86	240	LE2	LVA	1
14.09	240	LE2	LVA	2
14.16	240	LE2	LVA	3
14.47	240	EGA	LVA	1
15.36	240	EGA	LVA	2
15.7	240	EGA	LVA	3
13.82	240	CLI	LVA	1
13.93	240	CLI	LVA	2
13.75	240	CLI	LVA	3
14.92	240	COR	LVA	1
14.44	240	COR	LVA	2
16.57	240	COR	LVA	3
16.54	240	ESU	LVA	1
17.23	240	ESU	LVA	2
19.75	240	ESU	LVA	3
19.86	240	ECO	LVA	1
13.94	240	ECO	LVA	2
15.17	240	ECO	LVA	3
19.36	240	EBO	LVA	1
15.13	240	EBO	LVA	2
15.39	240	EBO	LVA	3
15.67	240	SOR	LVA	1
14.91	240	SOR	LVA	2
16.65	240	SOR	LVA	3
16.22	240	TUR	LVA	1
17.72	240	TUR	LVA	2
15.21	240	TUR	LVA	3
19.01	240	EEQ	LVA	1
17.06	240	EEQ	LVA	2
16.37	240	EEQ	LVA	3
3.52	240	CON	LVA	1
2.92	240	CON	LVA	2
2.15	240	CON	LVA	3
1.89	240	LE1	LVdf	1
2.2	240	LE1	LVdf	2
2.2	240	LE1	LVdf	3
1.06	240	LE2	LVdf	1
1.1	240	LE2	LVdf	2
0.88	240	LE2	LVdf	3
1.09	240	EGA	LVdf	1
1.34	240	EGA	LVdf	2
1.08	240	EGA	LVdf	3
1.03	240	CLI	LVdf	1
1.25	240	CLI	LVdf	2
0.8	240	CLI	LVdf	3
1.14	240	COR	LVdf	1
1.02	240	COR	LVdf	2
1	240	COR	LVdf	3
1.58	240	ESU	LVdf	1
1.23	240	ESU	LVdf	2
1.58	240	ESU	LVdf	3
1.36	240	ECO	LVdf	1
1.86	240	ECO	LVdf	2
1.48	240	ECO	LVdf	3
1.47	240	EBO	LVdf	1
1.64	240	EBO	LVdf	2
1.51	240	EBO	LVdf	3
1.25	240	SOR	LVdf	1
1.79	240	SOR	LVdf	2
1.72	240	SOR	LVdf	3
1.6	240	TUR	LVdf	1
1.34	240	TUR	LVdf	2
1.52	240	TUR	LVdf	3
1.55	240	EEQ	LVdf	1
1.57	240	EEQ	LVdf	2
1.53	240	EEQ	LVdf	3
1.67	240	CON	LVdf	1
1.97	240	CON	LVdf	2
1.52	240	CON	LVdf	3
8.96	270	LE1	AL	1
8.2	270	LE1	AL	2
8.37	270	LE1	AL	3
30.3	270	LE2	AL	1
32.76	270	LE2	AL	2
34.02	270	LE2	AL	3
26.89	270	EGA	AL	1
27.43	270	EGA	AL	2
26.29	270	EGA	AL	3
47.4	270	CLI	AL	1
47.57	270	CLI	AL	2
47.64	270	CLI	AL	3
21.8	270	COR	AL	1
21.85	270	COR	AL	2
20.8	270	COR	AL	3
14.86	270	ESU	AL	1
12.15	270	ESU	AL	2
18.01	270	ESU	AL	3
31.84	270	ECO	AL	1
35.14	270	ECO	AL	2
31.2	270	ECO	AL	3
34.27	270	EBO	AL	1
35.56	270	EBO	AL	2
32.63	270	EBO	AL	3
32.18	270	SOR	AL	1
32.73	270	SOR	AL	2
35.75	270	SOR	AL	3
16.47	270	TUR	AL	1
12.25	270	TUR	AL	2
11.92	270	TUR	AL	3
18.29	270	EEQ	AL	1
17.71	270	EEQ	AL	2
17.9	270	EEQ	AL	3
14.04	270	LE1	LVA	1
12.59	270	LE1	LVA	2
14.08	270	LE1	LVA	3
14.12	270	LE2	LVA	1
14.49	270	LE2	LVA	2
14.44	270	LE2	LVA	3
14.81	270	EGA	LVA	1
15.65	270	EGA	LVA	2
16.04	270	EGA	LVA	3
14.06	270	CLI	LVA	1
14.17	270	CLI	LVA	2
13.97	270	CLI	LVA	3
15.18	270	COR	LVA	1
14.72	270	COR	LVA	2
16.84	270	COR	LVA	3
16.85	270	ESU	LVA	1
17.54	270	ESU	LVA	2
20.04	270	ESU	LVA	3
20.12	270	ECO	LVA	1
14.31	270	ECO	LVA	2
15.54	270	ECO	LVA	3
19.45	270	EBO	LVA	1
15.24	270	EBO	LVA	2
15.53	270	EBO	LVA	3
15.81	270	SOR	LVA	1
15.12	270	SOR	LVA	2
16.81	270	SOR	LVA	3
16.36	270	TUR	LVA	1
18.09	270	TUR	LVA	2
15.32	270	TUR	LVA	3
19.14	270	EEQ	LVA	1
17.19	270	EEQ	LVA	2
16.59	270	EEQ	LVA	3
3.78	270	CON	LVA	1
3.11	270	CON	LVA	2
2.34	270	CON	LVA	3
2.06	270	LE1	LVdf	1
2.36	270	LE1	LVdf	2
2.35	270	LE1	LVdf	3
1.19	270	LE2	LVdf	1
1.31	270	LE2	LVdf	2
1	270	LE2	LVdf	3
1.23	270	EGA	LVdf	1
1.52	270	EGA	LVdf	2
1.27	270	EGA	LVdf	3
1.21	270	CLI	LVdf	1
1.36	270	CLI	LVdf	2
0.92	270	CLI	LVdf	3
1.42	270	COR	LVdf	1
1.16	270	COR	LVdf	2
1.17	270	COR	LVdf	3
1.72	270	ESU	LVdf	1
1.42	270	ESU	LVdf	2
1.83	270	ESU	LVdf	3
1.49	270	ECO	LVdf	1
2.06	270	ECO	LVdf	2
1.63	270	ECO	LVdf	3
1.63	270	EBO	LVdf	1
1.84	270	EBO	LVdf	2
1.69	270	EBO	LVdf	3
1.48	270	SOR	LVdf	1
1.94	270	SOR	LVdf	2
1.87	270	SOR	LVdf	3
1.8	270	TUR	LVdf	1
2.12	270	TUR	LVdf	2
1.68	270	TUR	LVdf	3
1.71	270	EEQ	LVdf	1
1.71	270	EEQ	LVdf	2
1.72	270	EEQ	LVdf	3
2.09	270	CON	LVdf	1
2.27	270	CON	LVdf	2
1.7	270	CON	LVdf	3
