## Dados de resposabilidade de Alexandre Bryan Heinemann, pesquisador
## da Embrapa Arroz e Feijão. Experimento para avaliação de cultivares de
## arroz foi instaldo em delineamento de blocos casualizados para avaliar o
## efeito do espaçamento de cultivo nos componentes de produção das
## cultivares. O experimento foi repetido tem 3 locais sendo que em um
## deles fez-se em dois anos, perfazendo 4 repetições do experimento.
## 
## local: indica o local de condução do ensaio.
## ano: indica o ano de condução do ensaio.
## parc: indica a parcela dentro do ensaio.
## bl: indica o bloco dentro do ensaio.
## cult: indica a cultivar de arroz.
## esp: espaçamento de cultivo (m).
## rend: rendimento de grãos (kg ha^{-1}).
## ester: esterelidade (%).
## npan: número (médio) de panículas.
## p100: peso de 100 grãos (g).
## local2: é a concatenação de local com ano.
## ng_pan: número de grãos por panícula.
## As demais variáveis são ambientais e não medidas ao nível das
## parcelas. Os valores são os mesmos para todas as parcelas de uma mesma
## cultivar:local:ano, ou seja, não mudam de bloco para bloco.
##
local	ano	parc	bl	cult	esp	rend	ester	npan	p100	ng_pan	prect	precv	precr	gdet	gdev	gder	rad	txdesv	tdesr	local2
1	2009	204	2	P	0.35	1720	19.95	237.1	2.8	165.2	795.8	531.2	117.6	1831	821	467	2056	0.000791307	0.000748722	CNPAF09
1	2009	208	2	P	0.55	1972	NA	220	3	NA	795.8	531.2	117.6	1831	821	467	2056	0.000791307	0.000748722	CNPAF09
1	2009	212	2	P	0.25	1987	42.82	364	NA	69.95	795.8	531.2	117.6	1831	821	467	2056	0.000791307	0.000748722	CNPAF09
1	2009	301	3	P	0.45	975	NA	222.2	2.8	231.05	795.8	531.2	117.6	1831	821	467	2056	0.000791307	0.000748722	CNPAF09
1	2009	306	3	P	0.35	2017	19.24	282.9	2.5	139.3	795.8	531.2	117.6	1831	821	467	2056	0.000791307	0.000748722	CNPAF09
1	2009	308	3	P	0.55	1925	18.49	180	NA	161.325	795.8	531.2	117.6	1831	821	467	2056	0.000791307	0.000748722	CNPAF09
1	2009	310	3	P	0.25	1576	22.21	320	3.1	NA	795.8	531.2	117.6	1831	821	467	2056	0.000791307	0.000748722	CNPAF09
1	2009	403	4	P	0.45	1714	26.81	257.8	3	163.95	795.8	531.2	117.6	1831	821	467	2056	0.000791307	0.000748722	CNPAF09
1	2009	406	4	P	0.35	1360	19.21	331.4	3.5	NA	795.8	531.2	117.6	1831	821	467	2056	0.000791307	0.000748722	CNPAF09
1	2009	409	4	P	0.55	1777	38.94	218.2	2.7	180.15	795.8	531.2	117.6	1831	821	467	2056	0.000791307	0.000748722	CNPAF09
1	2009	411	4	P	0.25	1848	32.04	300	3.2	167.75	795.8	531.2	117.6	1831	821	467	2056	0.000791307	0.000748722	CNPAF09
2	2009	102	1	C	0.25	57	NA	208	2	4.8	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
2	2009	104	1	C	0.35	64	60.1	137.1	NA	6.8	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
2	2009	112	4	C	0.55	56	52.2	94.5	1.3	7.1	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
