modelo	cor	km	ano	valor	cambio	poten	trac	cat	novo
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Preto	43079	2011/2012	50990	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Preto	10500	2012/2012	50999	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Prata	47000	2012/2013	51000	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Branco	24000	2012/2013	51000	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Branco	20000	2012/2013	51450	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Preto	9000	2012/2013	51500	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Preto	24000	2011/2012	51500	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Preto	50400	2011/2012	51700	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X4 16V FLEX 4P MANUAL	Cinza	36400	2012/2012	51700	MANUAL	2.0	4X4	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Branco	0	2014/2014	51890	MANUAL	1.6	4X2	 DYNAMIQUE 	novo
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Cinza	44310	2011/2012	51900	MANUAL	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Azul	60000	2011/2012	52900	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 4X2 16V FLEX 4P MANUAL	Prata	20700	2013/2013	52900	MANUAL	1.6	4X2	 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X4 16V FLEX 4P MANUAL	Prata	NA	2012/2012	52990	MANUAL	2.0	4X4	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X4 16V FLEX 4P MANUAL	Preto	13500	2012/2012	53000	MANUAL	2.0	4X4	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 TECH ROAD 4X2 16V FLEX 4P MANUAL	Branco	0	2013/2013	53850	MANUAL	1.6	4X2	 TECH ROAD 	novo
RENAULT DUSTER 1.6 TECH ROAD 4X2 16V FLEX 4P MANUAL	Branco	0	2013/2014	53850	MANUAL	1.6	4X2	 TECH ROAD 	novo
RENAULT DUSTER 1.6 TECH ROAD 4X2 16V FLEX 4P MANUAL	Branco	0	2013/2014	53890	MANUAL	1.6	4X2	 TECH ROAD 	novo
RENAULT DUSTER 1.6 TECH ROAD 4X2 16V FLEX 4P MANUAL	Branco	0	2013/2014	53900	MANUAL	1.6	4X2	 TECH ROAD 	novo
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Preto	33387	2012/2013	53900	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P MANUAL	Branco	15909	2012/2013	54890	MANUAL	2.0	4X2	 TECH ROAD 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X4 16V FLEX 4P MANUAL	Branco	42000	2012/2013	54899	MANUAL	2.0	4X4	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	41000	2012/2013	54900	MANUAL	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 TECH ROAD 4X2 16V FLEX 4P MANUAL	Branco	0	2013/2014	54990	MANUAL	1.6	4X2	 TECH ROAD 	novo
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Cinza	16000	2013/2013	54990	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X4 16V FLEX 4P MANUAL	Verde	26000	2012/2013	55000	MANUAL	2.0	4X4	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 TECH ROAD 4X2 16V FLEX 4P MANUAL	Branco	0	2013/2014	55300	MANUAL	1.6	4X2	 TECH ROAD 	novo
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Prata	0	2013/2014	55600	MANUAL	1.6	4X2	 EXPRESSION 	novo
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Preto	19000	2011/2012	55900	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	0	2013/2014	55990	MANUAL	1.6	4X2	 DYNAMIQUE 	novo
RENAULT DUSTER 1.6 TECH ROAD 4X2 16V FLEX 4P MANUAL	Branco	0	2013/2014	55990	MANUAL	1.6	4X2	 TECH ROAD 	novo
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	801	2013/2014	56490	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P MANUAL	Prata	7400	2012/2013	56800	MANUAL	2.0	4X2	 TECH ROAD 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Cinza	8900	2012/2013	56890	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 TECH ROAD 4X2 16V FLEX 4P MANUAL	Cinza	0	2013/2014	56900	MANUAL	1.6	4X2	 TECH ROAD 	novo
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	29000	2012/2013	56900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Vermelho	NA	2012/2013	56900.08	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Branco	0	2013/2014	56990	MANUAL	1.6	4X2	 DYNAMIQUE 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Preto	14400	2012/2013	57000	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Verde	23000	2011/2012	57000	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Preto	21748	2012/2013	57890	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P MANUAL	Verde	14376	2013/2014	57890	MANUAL	2.0	4X2	 TECH ROAD 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Branco	0	2014/2014	57900	MANUAL	1.6	4X2	 DYNAMIQUE 	novo
RENAULT DUSTER 1.6 TECH ROAD 4X2 16V FLEX 4P MANUAL	Verde	0	2013/2014	57900	MANUAL	1.6	4X2	 TECH ROAD 	novo
RENAULT DUSTER 1.6 TECH ROAD 4X2 16V FLEX 4P MANUAL	Prata	0	2013/2014	57900	MANUAL	1.6	4X2	 TECH ROAD 	novo
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	0	2013/2014	57990	MANUAL	1.6	4X2	 DYNAMIQUE 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Verde	27000	2012/2013	58000	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	usado
RENAULT DUSTER 1.6 4X2 16V FLEX 4P MANUAL	Prata	NA	2014/2014	58040	MANUAL	1.6	4X2	 	usado
