#-----------------------------------------------------------------------
# Tabela de dados extraída do site <http://www.inmet.gov.br/portal/index.php?r=clima/graficosClimaticos>.
#
# A tabela contém dados mensais para as Normais Climatológicas do Brasil
# de 1961-1990 da variável Insolação Total (horas). Dados extraídos dia
# 2019-11-30.
#
# Leitura no R com:
# url <- "http://leg.ufpr.br/~walmes/data/inmet-insolacao-total.txt"
# tb <- read.table(url,
#                  header = TRUE,
#                  comment = "#",
#                  sep = "\t",
#                  dec = ",",
#                  na.strings = "-",
#                  stringsAsFactors = FALSE)
#-----------------------------------------------------------------------
Código 	Nome da Estação	UF	Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro	Ano
83695	Itaperuna	RJ	222,9	215,2	215,1	192,2	195,6	187,8	194,1	195,5	158,2	158,5	172,2	178,9	2286,2
83745	Nova Friburgo	RJ	153,2	136,6	157,3	133,2	158,7	132,0	149,1	166,1	139,4	97,3	109,2	143,5	1675,6
83754	Pinheiral	RJ	189,0	172,0	199,3	-	179,1	175,1	189,0	194,6	167,9	144,9	169,8	160,0	-
83757	Piraí	RJ	160,7	177,3	158,3	142,2	147,0	141,6	158,8	143,9	117,8	131,1	129,5	136,9	1745,1
83738	Resende	RJ	171,9	156,5	178,0	157,2	178,5	167,7	191,7	186,3	142,8	134,0	145,4	144,1	1954,1
83743	Rio de Janeiro	RJ	211,9	201,3	206,4	181,0	186,3	175,1	188,6	184,8	146,2	152,1	168,5	179,6	2181,8
83696	Santa Maria Madalena	RJ	179,4	174,1	192,5	163,0	153,2	138,3	148,4	176,6	144,6	129,3	134,0	149,7	1883,1
83802	São Bento (Duque de Caxias)	RJ	190,3	178,9	187,7	161,7	168,9	148,3	161,8	164,1	138,6	134,4	142,6	164,9	1942,2
83806	Teresópolis - P. Nacional	RJ	159,7	152,6	162,9	151,1	163,7	158,9	169,4	180,4	144,5	117,0	118,2	137,8	1816,2
83742	Vassouras	RJ	185,8	186,6	192,5	168,7	179,0	170,6	184,4	184,4	140,8	144,8	150,3	158,2	2046,1
82590	Apodí	RN	245,9	212,2	222,1	212,5	243,0	237,6	247,6	283,2	283,5	302,5	283,6	267,4	3041,1
82596	Ceará Mirim	RN	254,7	205,6	198,9	190,2	193,8	189,1	192,8	235,6	248,2	269,3	279,9	262,9	2721,0
82693	Cruzeta	RN	238,6	216,8	200,8	211,1	228,2	215,5	216,2	255,1	272,8	290,7	290,2	257,4	2893,4
82691	Florânia	RN	218,4	183,6	197,0	198,5	214,8	200,9	215,1	259,4	260,6	272,3	243,3	236,1	2700,0
82594	Macau	RN	229,2	196,5	188,0	202,1	202,3	206,0	210,5	248,8	252,3	277,8	249,6	222,5	2685,6
