experimento	semente	inseticida	tratamento	repeticao	estande	producao
2008750J08	DKB390YG	SEM INS	3	5	53061	13523
2008750J08	DKB390YG	SEM INS	3	3	53061	12109
2008750J08	DKB390YG	SEM INS	3	4	53061	11827
2008750J08	DKB390YG	SEM INS	3	2	52041	11673
2008750J09	AG7000	COM INS	2	1	53061	12241
2008750J09	AG7000	COM INS	2	2	53061	11856
2008750J09	AG7000	COM INS	2	3	53061	11871
2008750J09	AG7000	COM INS	2	4	53061	11914
2008750J09	AG7000	COM INS	2	5	52041	11422
2008750J09	AG7000	SEM INS	1	5	53061	11871
2008750J09	AG7000	SEM INS	1	4	51020	12101
2008750J09	AG7000	SEM INS	1	1	53061	12301
2008750J09	AG7000	SEM INS	1	2	53061	12865
2008750J09	AG7000	SEM INS	1	3	51020	10951
2008750J09	AG7000YG	COM INS	4	1	52041	11462
2008750J09	AG7000YG	COM INS	4	3	53061	11434
2008750J09	AG7000YG	COM INS	4	2	53061	12354
2008750J09	AG7000YG	COM INS	4	5	53061	12226
2008750J09	AG7000YG	COM INS	4	4	53061	12398
2008750J09	AG7000YG	SEM INS	3	3	53061	11194
2008750J09	AG7000YG	SEM INS	3	1	53061	12211
2008750J09	AG7000YG	SEM INS	3	4	53061	12241
2008750J09	AG7000YG	SEM INS	3	5	53061	11689
2008750J09	AG7000YG	SEM INS	3	2	52041	11603
2008750J10	AG8088	COM INS	2	3	53061	11040
2008750J10	AG8088	COM INS	2	1	53061	12167
2008750J10	AG8088	COM INS	2	4	51020	10393
2008750J10	AG8088	COM INS	2	5	53061	13272
2008750J10	AG8088	COM INS	2	2	52041	11140
2008750J10	AG8088	SEM INS	1	1	53061	11914
2008750J10	AG8088	SEM INS	1	5	53061	10698
2008750J10	AG8088	SEM INS	1	4	53061	10939
2008750J10	AG8088	SEM INS	1	3	52041	11207
2008750J10	AG8088	SEM INS	1	2	53061	10418
2008750J10	AG8088YG	COM INS	4	5	53061	11226
2008750J10	AG8088YG	COM INS	4	3	53061	12226
2008750J10	AG8088YG	COM INS	4	2	53061	12693
2008750J10	AG8088YG	COM INS	4	4	53061	12693
2008750J10	AG8088YG	COM INS	4	1	52041	11032
2008750J10	AG8088YG	SEM INS	3	1	53061	12429
2008750J10	AG8088YG	SEM INS	3	4	53061	10867
2008750J10	AG8088YG	SEM INS	3	5	53061	11005
2008750J10	AG8088YG	SEM INS	3	2	52041	13099
2008750J10	AG8088YG	SEM INS	3	3	52041	11799
2008916C01	AG8088	COM INS	1	5	58569	5006.9
2008916C01	AG8088	COM INS	1	2	57140	4681.77
2008916C01	AG8088	COM INS	1	1	59997	4670.94
2008916C01	AG8088	COM INS	1	4	58569	5322.17
2008916C01	AG8088	COM INS	1	3	58569	6332.51
2008916C01	AG8088	SEM INS	2	5	57140	4433.66
2008916C01	AG8088	SEM INS	2	4	57140	4285.71
2008916C01	AG8088	SEM INS	2	2	59997	4597.7
2008916C01	AG8088	SEM INS	2	3	55712	6715.27
2008916C01	AG8088	SEM INS	2	1	57140	5707.72
2008916C01	AG8088YG	COM INS	3	1	61426	7926.44
2008916C01	AG8088YG	COM INS	3	4	62854	8161.9
2008916C01	AG8088YG	COM INS	3	3	62854	7003.28
2008916C01	AG8088YG	COM INS	3	5	61426	6879.31
2008916C01	AG8088YG	COM INS	3	2	62854	7527.91
2008916C01	AG8088YG	SEM INS	4	2	62854	7475.7
2008916C01	AG8088YG	SEM INS	4	4	61426	7607.88
2008916C01	AG8088YG	SEM INS	4	3	62854	6943.68
2008916C01	AG8088YG	SEM INS	4	1	59997	7274.88
2008916C01	AG8088YG	SEM INS	4	5	61426	6310.34
2008916C02	DKB390	COM INS	1	2	59997	6029.89
2008916C02	DKB390	COM INS	1	1	58569	6768.31
2008916C02	DKB390	COM INS	1	5	61426	4942.53
2008916C02	DKB390	COM INS	1	4	59997	6107.55
2008916C02	DKB390	COM INS	1	3	57140	6723.15
2008916C02	DKB390	SEM INS	2	4	61426	6495.89
2008916C02	DKB390	SEM INS	2	2	59997	5441.05
2008916C02	DKB390	SEM INS	2	1	58569	6128.74
2008916C02	DKB390	SEM INS	2	5	51426	5441.05
2008916C02	DKB390	SEM INS	2	3	59997	6317.73
2008916C02	DKB390YG	COM INS	3	5	62854	6369.46
2008916C02	DKB390YG	COM INS	3	4	62854	6488.34
2008916C02	DKB390YG	COM INS	3	3	62854	6220.69
2008916C02	DKB390YG	COM INS	3	1	62854	7326.11
2008916C02	DKB390YG	COM INS	3	2	59997	6723.15
2008916C02	DKB390YG	SEM INS	4	5	58569	6606.24
2008916C02	DKB390YG	SEM INS	4	4	62854	7379.97
2008916C02	DKB390YG	SEM INS	4	3	62854	8086.7
2008916C02	DKB390YG	SEM INS	4	2	62854	5602.63
2008916C02	DKB390YG	SEM INS	4	1	61426	9243.02
2008916C03	AG8088	COM INS	1	3	56250	6396.98
2008916C03	AG8088	COM INS	1	5	56250	5493.68
2008916C03	AG8088	COM INS	1	1	58750	6507.47
2008916C03	AG8088	COM INS	1	4	56250	6507.47
2008916C03	AG8088	COM INS	1	2	57500	6586.93
2008916C03	AG8088	SEM INS	2	2	58750	6470.11
2008916C03	AG8088	SEM INS	2	1	58750	6192.53
2008916C03	AG8088	SEM INS	2	3	56250	5986.21
2008916C03	AG8088	SEM INS	2	5	56250	5262.07
