#------------------------------------------------------------------------------------------
# dados de análise de imagens de agregados (análise morfométrica) de amostras de solo
# identificadas por dois níveis de profundidade de coleta. As variáveis observadas foram:
# área: area (da projeção no plano) do agregado;
# perimetro: perimetro do poligono (obtido da projeção no plano) do agregado;
# aspecto e roundness: medidas relativas à forma de um círculo;
# maioreixo e menoreixo: retas de maior e menor comprimentos com extremos na borda;
# dados obtidos na Universidade Federal da Grande Dourados pela acadêmica de Agronomia
# (na época) Carla Eloize Carducci.
#------------------------------------------------------------------------------------------
profundidade	area	perimetro	aspecto	roundness	maioreixo	menoreixo
20	0.0083	0.40	0.8125	0.7378	31	25
20	0.0059	0.30	0.9130	0.8945	22	20
20	0.0100	0.40	0.6410	0.6468	38	24
20	0.0067	0.30	0.9231	0.8898	25	23
20	0.0045	0.30	1.0000	0.8703	20	20
20	0.0043	0.30	0.9524	0.7312	20	19
20	0.0079	0.30	0.8929	0.8737	27	24
20	0.0080	0.30	0.9259	0.8749	26	24
20	0.0046	0.30	0.7308	0.7515	25	18
20	0.0051	0.30	1.0000	0.8061	22	22
20	0.0091	0.40	0.9310	0.7546	28	26
20	0.0025	0.20	1.0000	0.9669	15	15
20	0.0048	0.30	0.8261	0.8488	22	18
20	0.0064	0.30	0.7857	0.7491	27	21
20	0.0048	0.30	0.7826	0.8753	22	17
20	0.0068	0.30	0.7000	0.7896	29	20
20	0.0064	0.30	0.7692	0.8524	25	19
20	0.0046	0.30	1.0000	0.9061	20	20
20	0.0074	0.40	0.4615	0.6261	38	17
20	0.0089	0.40	0.7353	0.7267	33	24
20	0.0045	0.30	0.9524	0.8775	20	19
20	0.0076	0.30	0.7931	0.8388	28	22
20	0.0059	0.30	0.8800	0.8313	24	21
20	0.0082	0.30	0.8889	0.8990	26	23
20	0.0074	0.40	0.6000	0.6717	34	20
20	0.0044	0.20	0.9524	0.8908	20	19
20	0.0059	0.30	0.9200	0.7848	24	22
20	0.0043	0.30	0.9545	0.7924	21	20
20	0.0070	0.30	0.9630	0.8817	26	25
20	0.0086	0.40	0.9643	0.8651	27	26
20	0.0068	0.30	1.0000	0.8547	24	24
20	0.0062	0.30	0.8148	0.8243	26	21
20	0.0067	0.30	0.9615	0.7555	25	24
20	0.0084	0.40	0.8000	0.8582	29	23
20	0.0067	0.30	0.8214	0.8486	27	22
20	0.0087	0.40	0.7059	0.7751	33	23
20	0.0064	0.30	0.8214	0.7855	27	22
20	0.0028	0.20	0.8824	0.8986	16	14
20	0.0041	0.20	0.8571	0.8739	20	17
20	0.0058	0.30	0.9565	0.8205	22	21
20	0.0051	0.30	0.9565	0.7923	22	21
20	0.0045	0.30	0.6154	0.7753	25	15
20	0.0055	0.30	0.6786	0.6935	27	18
20	0.0034	0.20	0.8421	0.9672	18	15
20	0.0056	0.30	0.9200	0.8479	24	22
20	0.0042	0.20	0.6667	0.8393	23	15
20	0.0058	0.30	0.9200	0.8264	24	22
20	0.0030	0.20	0.6364	0.7762	21	13
20	0.0067	0.30	0.9615	0.8765	25	24
20	0.0042	0.20	0.9048	0.9044	20	18
20	0.0036	0.20	0.9474	0.9048	18	17
20	0.0026	0.20	0.9375	0.9653	15	14
20	0.0079	0.30	0.8929	0.9068	27	24
20	0.0044	0.30	0.8182	0.8701	21	17
20	0.0067	0.30	0.9231	0.8366	25	23
20	0.0037	0.20	0.9500	0.8529	19	18
20	0.0082	0.30	0.7667	0.8711	29	22
20	0.0045	0.20	0.8261	0.9171	22	18
20	0.0039	0.20	0.8000	0.9315	19	15
20	0.0040	0.20	0.6957	0.8785	22	15
20	0.0050	0.30	0.8333	0.8362	23	19
20	0.0039	0.20	0.8500	0.9528	19	16
20	0.0052	0.30	0.8333	0.8545	23	19
20	0.0048	0.30	0.9524	0.9207	20	19
20	0.0038	0.20	0.9000	0.9059	19	17
20	0.0049	0.30	0.9091	0.7419	21	19
20	0.0094	0.40	0.9091	0.7198	32	29
20	0.0048	0.30	0.9091	0.9062	21	19
20	0.0056	0.30	1.0000	0.8670	22	22
20	0.0063	0.30	0.8846	0.8170	25	22
20	0.0032	0.20	0.8500	0.8697	19	16
20	0.0059	0.30	0.9583	0.8684	23	22
20	0.0035	0.20	1.0000	0.9405	16	16
20	0.0032	0.20	0.8889	0.9340	17	15
20	0.0060	0.30	0.9565	0.8884	22	21
20	0.0050	0.30	0.8400	0.7453	24	20
20	0.0075	0.40	1.0000	0.6628	28	28
20	0.0090	0.40	0.8333	0.8370	29	24
20	0.0075	0.40	0.8966	0.7331	28	25
20	0.0056	0.30	0.7308	0.8734	25	18
20	0.0032	0.20	0.9412	0.9446	16	15
20	0.0042	0.20	0.7826	0.8493	22	17
20	0.0059	0.30	0.9167	0.8747	23	21
20	0.0067	0.30	0.9600	0.8934	24	23
20	0.0086	0.40	0.7576	0.8022	32	24
20	0.0035	0.20	1.0000	0.8995	18	18
20	0.0039	0.20	0.9500	0.8442	19	18

