## Responsável: Walmes Zeviani.
## Experimento feito durante a gradução (4ª ano de agronomia) durante a
## disciplina de Irrigação e Drenagem. Estudou-se níveis de adubação
## organica e irrigação na cultura do milho; cultivo: níveis de
## irrigação, parcelas dentro do pivô central ou fora a distância entre
## elas é de 20-30 metros, assume-se que a única variação é devido
## irrigação; npk: kg ha^{-1} de adubo mineral NPK aplicado (12.33 –
## 19.12 – 14.18); cama: kg ha^{-1} de adubo orgânico (cama de frango de
## corte de 6 lotes) com teor de NPK de 2.52 – 3.92 – 2.93 (feito a
## lanço); rept: indicador de parcela, não foi em bloco devido a
## homogeneidade da condições locais; planta: indicador de unidade
## amostral (planta dentro da parcela); altplnt: altura de plantas em
## metros; altespg: altura de espigas em metros;
##
rept	cultivo	npk	cama	planta	altplnt	altespg
4	seq	490	0	4	2.25	0.8
4	seq	490	0	5	2	0.8
4	seq	490	0	6	2.01	0.75
1	seq	0	1200	1	2.2	0.8
1	seq	0	1200	2	2	0.8
1	seq	0	1200	3	2.1	0.72
1	seq	0	1200	4	2.22	0.86
1	seq	0	1200	5	2.05	0.82
1	seq	0	1200	6	2.12	0.79
2	seq	0	1200	1	2.01	0.85
2	seq	0	1200	2	1.96	0.82
2	seq	0	1200	3	2.05	0.81
2	seq	0	1200	4	2.11	0.79
2	seq	0	1200	5	2.04	0.8
2	seq	0	1200	6	2	0.82
3	seq	0	1200	1	2.04	0.9
3	seq	0	1200	2	2.08	0.87
3	seq	0	1200	3	1.9	0.88
3	seq	0	1200	4	2	0.68
3	seq	0	1200	5	1.96	0.76
3	seq	0	1200	6	2.1	0.8
4	seq	0	1200	1	1.92	0.88
4	seq	0	1200	2	2.05	0.82
4	seq	0	1200	3	2	0.7
4	seq	0	1200	4	2.06	0.66
4	seq	0	1200	5	2	0.77
4	seq	0	1200	6	2.1	0.8
1	seq	0	2400	1	2.06	0.8
1	seq	0	2400	2	1.9	0.67
1	seq	0	2400	3	2.21	0.82
1	seq	0	2400	4	2.15	0.82
1	seq	0	2400	5	2.08	0.76
1	seq	0	2400	6	2.23	0.79
2	seq	0	2400	1	2.1	0.7
2	seq	0	2400	2	2.05	0.7
2	seq	0	2400	3	1.87	0.71
2	seq	0	2400	4	2.06	0.8
2	seq	0	2400	5	2.04	0.75
2	seq	0	2400	6	1.97	0.9
3	seq	0	2400	1	2.02	0.89
3	seq	0	2400	2	2	0.87
3	seq	0	2400	3	2.1	0.84
3	seq	0	2400	4	2	0.82
3	seq	0	2400	5	1.97	0.91
3	seq	0	2400	6	2.11	0.86
4	seq	0	2400	1	1.9	0.73
4	seq	0	2400	2	2.02	0.75
4	seq	0	2400	3	1.8	0.78
