## Experimento de Milson Evaldo Serafim
## (http://lattes.cnpq.br/8676820051946774) que avaliou o efeito de
## susbtrato, tipo de recipiente para variedades de maracujá nos
## atributos químicos do solo. Foi instalado em blocos com fatores
## completamente cruzados em esquema fatorial triplo. O experimento foi
## conduzido por 60 dias e no final dados de parte aérea e químicos
## foram determinados.
##
variedade	recipiente	substrato	bloco	phh2o	P	K	Ca	Mg	mo	Sb	ctcph7	ctcefet	v	m
Gigante Amarelo	grande	Plantmax	1	6.6	86.6	165.3	12.8	2.1	1.6	15.3	16.8	15.3	91.2	0
Gigante Amarelo	grande	Plantmax	2	5.7	55	168	4.7	3.3	0	8.4	16.3	8.4	51.7	0
Gigante Amarelo	grande	Plantmax	3	5.5	56.3	206.3	7.5	2.5	0	10.5	19.3	10.6	54.5	0.9
Gigante Amarelo	pequeno	Cama de Frango	1	6.6	111.2	361.9	4	3.7	3.6	8.6	10.1	8.6	85.3	0
Gigante Amarelo	pequeno	Cama de Frango	2	6.6	129.2	194.3	8.1	5.4	3.4	14	15.3	14	91.3	0
Gigante Amarelo	pequeno	Cama de Frango	3	6.8	89.9	394.3	8.9	2.1	3.7	12	13.3	12	90	0
Gigante Amarelo	pequeno	Solo NPK	1	5.7	113.7	409.5	6.4	2.3	1.7	9.8	13	10	75.1	2
Gigante Amarelo	pequeno	Solo NPK	2	5.7	90.3	272.4	6.4	4.7	1.8	11.8	15.4	11.8	76.5	0
Gigante Amarelo	pequeno	Solo NPK	3	5.8	123.1	289.5	12	1	1.5	13.7	17	14.1	80.9	2.8
Gigante Amarelo	pequeno	Plantmax	1	5.8	100.2	178.1	6.9	5.2	0	12.6	20.4	12.6	61.5	0
Gigante Amarelo	pequeno	Plantmax	2	4.9	32.6	276.2	9.3	3.9	0	13.9	24.9	13.9	55.9	0
Gigante Amarelo	pequeno	Plantmax	3	5.3	34.9	188.6	11.4	3.8	0	15.7	24.5	16	64.1	1.9
