preco	area	nquart	nbanh	nvaga	nsuit	bairro
419611	53.8	1	NA	1	1	Batel
755250	96	3	3	2	1	Batel
430000	70	2	2	1	1	Batel
1650000	205.3	3	NA	NA	NA	Batel
1300000	121	2	3	2	2	Batel
4890000	398	4	2	4	4	Batel
1300000	120	2	3	2	2	Batel
548000	98	2	1	2	1	Batel
350000	NA	3	NA	1	NA	Batel
1650000	205.3	3	NA	3	NA	Batel
1600000	229	3	2	2	1	Batel
1150000	237	4	NA	2	NA	Batel
4950000	380	4	1	4	4	Batel
678000	176	3	1	2	1	Batel
2611340	233	3	3	3	3	Batel
420000	91.77	3	NA	1	1	Batel
3500000	354	4	5	4	4	Batel
530000	120	3	4	1	1	Batel
638000	68.31	1	2	2	1	Batel
1099000	107.93	3	2	2	1	Batel
390000	63	2	2	1	1	Batel
1476000	152.89	3	2	2	1	Batel
517100	46	1	1	NA	1	Batel
993400	82	2	NA	2	2	Batel
825000	146	3	5	2	3	Batel
749500	65	1	1	NA	1	Batel
532000	158	2	2	2	1	Batel
2649000	233	3	4	3	3	Batel
2800000	625	4	7	5	4	Batel
595000	120	3	NA	NA	1	Batel
550000	87.78	3	NA	NA	1	Batel
770000	114.15	3	NA	2	1	Batel
850000	208	3	4	2	1	Batel
2090000	236	4	NA	4	4	Batel
920000	160	2	4	2	1	Batel
730000	223	3	NA	2	NA	Batel
350000	60	2	1	1	NA	Batel
470000	88	2	2	1	1	Batel
500000	97.83	3	NA	1	NA	Batel
490000	95	2	3	1	2	Batel
430000	107	3	4	1	1	Batel
1400000	428	3	NA	3	2	Batel
1190000	NA	4	1	3	2	Batel
749500	65	1	1	NA	1	Batel
2100000	320	4	6	4	4	Batel
725000	136	3	3	2	1	Batel
595000	140	4	3	1	1	Batel
750000	186	4	3	2	2	Batel
2495000	422	4	5	5	4	Batel
2950000	443	4	7	4	4	Batel
1250000	291	3	3	2	2	Batel
2000000	NA	3	NA	4	NA	Batel
5399900	398	4	4	2	4	Batel
1510000	330	4	NA	3	2	Batel
637295	68.32	1	NA	2	1	Batel
720000	116	3	4	2	1	Batel
1650000	323	3	2	3	1	Batel
650000	147	3	4	1	1	Batel
635000	107	3	3	1	1	Batel
1300000	220	4	1	3	2	Batel
960000	200	2	NA	2	1	Batel
815000	233	4	3	2	2	Batel
350000	91	3	3	1	1	Batel
322000	55	2	2	1	1	Batel
335885	41.92	1	NA	NA	NA	Batel
950000	169.15	NA	NA	2	NA	Batel
650000	107	3	2	2	1	Batel
990000	215	4	NA	3	2	Batel
548000	100	2	3	1	1	Batel
195000	35	1	1	NA	NA	Batel
3500000	408	4	6	5	4	Batel
3380000	380	4	4	4	4	Batel
4900000	960	5	NA	5	5	Batel
4999900	398	4	4	2	4	Batel
1370000	152.9	3	NA	2	1	Batel
750000	181	4	4	2	1	Batel
702305	76.01	2	NA	2	1	Batel
700000	190	3	4	1	1	Batel
1300000	188	4	6	2	2	Batel
800000	225	2	2	2	1	Batel
755000	96	3	3	2	1	Batel
1100000	83.24	2	NA	1	2	Batel
1598000	168.36	3	NA	2	1	Batel
620000	12411	2	2	2	1	Batel
2599900	235	3	2	3	3	Batel
580000	146	4	2	1	1	Batel
870000	270	4	1	3	2	Batel
730000	145	4	3	2	1	Batel
580000	118	3	4	1	1	Batel
550000	62	1	NA	1	1	Batel
650000	128	3	2	2	1	Batel
945000	238	4	4	2	1	Batel
3370000	312	4	5	3	2	Batel
690000	158	4	3	2	1	Batel
690000	150	3	4	2	1	Batel
2599900	233	3	3	2	3	Batel
2999900	235	3	3	2	3	Batel
780000	NA	3	NA	1	NA	Batel
2250000	462	3	1	4	3	Batel
540000	133.94	3	NA	1	NA	Batel
1190000	150	3	NA	2	1	Batel
552420	65.09	2	NA	1	1	Batel
750000	178	3	2	2	1	Batel
650000	106	3	2	2	1	Batel
193000	40	1	1	NA	NA	Batel
650000	224	3	3	1	1	Batel
1800000	370	3	NA	4	2	Batel
999999	185	3	3	4	1	Batel
2700000	273	4	6	4	4	Batel
750000	190	4	1	2	2	Batel
531900	59.69	2	NA	1	NA	Batel
3500000	354	4	NA	4	4	Batel
580000	90	2	3	1	2	Batel
326400	61	2	2	1	1	Batel
690000	158	4	3	2	1	Batel
782700	96	3	3	2	2	Batel
1115000	228	3	2	2	1	Batel
1370000	152.9	3	NA	2	1	Batel
3500000	355	4	5	4	4	Batel
662000	84	1	NA	1	1	Batel
1180000	272	3	4	3	1	Batel
690000	150	3	4	2	1	Batel
890000	177	3	1	3	2	Batel
480000	86.74	3	NA	1	1	Batel
750000	187	4	4	2	2	Batel
600000	114.2	3	NA	2	NA	Batel
1300000	288	4	4	3	2	Batel
260000	31.92	1	NA	NA	NA	Batel
700000	190	3	1	2	1	Batel
625000	187	3	4	1	1	Batel
1300000	160	4	4	3	2	Batel
750000	201605	3	3	2	1	Batel
370000	90.2	1	NA	2	NA	Batel
1080000	250	4	4	2	2	Batel
750000	190	4	3	2	2	Batel
3450000	355	NA	3	4	4	Batel
690000	158	4	3	2	1	Batel
330000	107	3	2	1	1	Batel
1600000	296	5	6	3	5	Batel
2699900	235	3	3	2	3	Batel
1022000	107.93	3	NA	2	1	Batel
1830000	291	4	4	3	4	Batel
3500000	354	4	5	4	4	Batel
630000	149	NA	NA	NA	NA	Batel
345735	41.93	1	NA	NA	NA	Batel
750000	185	4	4	2	2	Batel
950000	200	4	4	2	1	Batel
935000	114	2	4	2	2	Batel
337855	41.93	1	NA	NA	NA	Batel
2000000	302	4	1	3	2	Batel
1600000	285	4	2	3	2	Batel
630000	92	3	2	2	1	Batel
3150000	287	4	NA	4	NA	Batel
560000	89.5	1	NA	2	NA	Batel
782700	96.46	3	2	1	1	Batel
1000900	101.43	3	2	2	1	Batel
900000	180	3	2	2	1	Batel
5423660	398	4	7	4	4	Batel
1099999	220	4	5	3	2	Batel
1800000	500	4	7	3	4	Batel
980000	146	3	4	2	1	Batel
3699900	235	3	3	2	3	Batel
416000	41.06	1	NA	1	NA	Batel
650000	126	3	2	2	1	Batel
2050000	206	3	5	3	3	Batel
820000	227	4	5	2	4	Batel
246000	29.72	1	1	NA	NA	Batel
