trat;bloc;rep;viab;alt;diam;nfol;afol;pff;pfc;pfr;psf;psc;psr
Terra Plantas;2; 6;1;26;5.61;11;301.466;4.69;5.2;4.97;1.94;2.13;1.8
Terra Plantas;2; 7;1;14;5.02;6;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;2; 8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;2; 9;1;13;2.6;9;149.143;2.25;1.26;1.82;0.85;0.59;0.46
Terra Plantas;2;10;1;18;5.17;9;193.076;4.15;3.31;2.87;1.46;1.28;1.16
Terra Plantas;2;11;1;17;3.85;9;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;2;12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;2;13;1;17;4.88;10;88.546;3.96;1.39;2.93;1.48;1.11;0.76
Terra Plantas;2;14;1;15;3.95;9;70.631;3.6;1.71;1.53;1.23;0.66;0.78
Terra Plantas;2;15;1;10;2.5;10;163.278;0.91;0.66;0.89;0.49;0.3;0.29
Terra Plantas;2;16;1;10;4.28;9;283.227;3.02;1.32;2.4;1.28;0.76;0.88
Terra Plantas;2;17;1;22;5.38;8;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;2;18;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;2;19;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;2;20;1;15;4.85;10;410.543;4.8;2.95;5.64;1.81;1.22;1.81
Terra Plantas;3; 1;1;11;2.96;6;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;3; 2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;3; 3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;3; 4;1;8;2.46;8;210.129;2.32;1.35;2.72;0.88;0.42;0.76
Terra Plantas;3; 5;1;20;5.86;11;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;3; 6;1;4;2.8;6;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;3; 7;1;11;2.34;6;194.147;1.25;1.12;1.92;0.5;0.36;0.46
Terra Plantas;3; 8;1;16;5.21;10;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;3; 9;1;8;2.77;9;272.433;2.6;1.17;3.5;0.95;0.39;0.89
Terra Plantas;3;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;3;11;1;11;3.25;6;118.81;1.33;1.01;2.22;0.53;0.33;0.62
Terra Plantas;3;12;1;5;2.3;8;66.309;0.84;0.32;0.71;0.25;0.09;0.17
Terra Plantas;3;13;1;14;4.56;5;178.02;2.32;2.6;3.13;0.93;0.96;1.03
Terra Plantas;3;14;1;4;2.46;5;139.928;1.37;0.86;2.46;0.47;0.27;0.67
Terra Plantas;3;15;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;3;16;1;5;2.65;6;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;3;17;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;3;18;1;7;3.62;5;109.57;1.6;0.94;3.26;0.63;0.33;0.9
Terra Plantas;3;19;1;7;3.42;8;166.757;2.21;1.01;3.03;0.92;0.37;0.88
Terra Plantas;3;20;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;4; 1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;4; 2;1;6;2.41;8;83.221;1.02;0.86;2.03;0.4;0.3;0.6
Terra Plantas;4; 3;1;11;3.53;9;89.71;2.19;1.2;2.59;0.75;0.43;0.74
Terra Plantas;4; 4;1;10;2.79;6;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;4; 5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;4; 6;1;5;2.57;5;61.133;0.96;0.62;0.97;0.32;0.18;0.26
Terra Plantas;4; 7;1;8;2.91;7;65.391;1.79;1.02;2.72;0.75;0.6;0.33
Terra Plantas;4; 8;1;7;3.36;6;10.45;1.18;0.79;0.54;0.44;0.26;0.14
Terra Plantas;4; 9;1;7;1.96;7;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;4;10;1;5;2.52;8;115.035;1.5;0.66;1.38;0.67;0.18;0.4
Terra Plantas;4;11;1;10;3.03;8;122.207;2.03;1.13;2.2;0.84;0.41;0.55
Terra Plantas;4;12;1;11;2.47;7;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;4;13;1;7;3.19;6;139.603;1.16;0.72;2.67;0.46;0.26;0.65
Terra Plantas;4;14;1;7;2.82;7;141.521;2.07;1.25;2.46;0.77;0.45;0.72
Terra Plantas;4;15;1;18;5.11;8;231.271;4.46;4.49;8.57;1.71;1.57;1.54
Terra Plantas;4;16;1;19;6.34;9;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;4;17;1;10;6.06;11;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;4;18;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;4;19;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;4;20;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;5; 1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;5; 2;1;6;2.87;7;87.567;1.47;1;1.93;0.52;0.31;0.47
Terra Plantas;5; 3;1;6;2.84;8;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;5; 4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;5; 5;1;12;5.15;8;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;5; 6;1;5;2.41;7;77.865;1.2;0.88;1.41;0.51;0.28;0.43
Terra Plantas;5; 7;1;3;5.13;4;103.83;1.27;1.3;2.23;0.46;0.33;0.63
Terra Plantas;5; 8;1;3;1.93;4;19.146;0.19;0.31;0.22;0.07;0.06;0.11
Terra Plantas;5; 9;1;3.5;3;4;77.569;0.96;0.55;1.44;0.36;0.19;0.38
Terra Plantas;5;10;1;4;2.49;6;67.698;0.81;0.53;1.07;0.27;0.17;0.38
Terra Plantas;5;11;1;8;3.19;7;130.636;1.64;1.26;2.13;0.58;0.44;0.71
Terra Plantas;5;12;1;6;3.09;8;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;5;13;1;6;2.05;6;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;5;14;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;5;15;1;10;3.77;7;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;5;16;1;6;2.7;6;127.309;1.79;0.96;3.05;0.67;0.29;0.88
Terra Plantas;5;17;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;5;18;1;5.5;2.64;7;118.775;1.24;0.56;1.86;0.45;0.19;0.66
Terra Plantas;5;19;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Terra Plantas;5;20;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;1; 1;1;22;4.55;13;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;1; 2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;1; 3;1;13;2.95;8;209.373;3.14;2.02;1.8;1.01;0.55;0.5
TSAreiaEsterco 2:2:1;1; 4;1;19;6.32;10;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;1; 5;1;3;4.59;5;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;1; 6;1;14;3.27;8;202.646;2.84;2.7;1.68;0.9;0.43;0.64
TSAreiaEsterco 2:2:1;1; 7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;1; 8;1;11;4.42;11;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;1; 9;1;17;5.5;10;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;1;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;1;11;1;16;5.29;8;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;1;12;1;13;4.02;7;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;1;13;1;9;3.3;6;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;1;14;1;19;4.12;11;353.626;4.6;2.98;3.62;1.67;0.98;0.94
TSAreiaEsterco 2:2:1;1;15;1;13;3.83;11;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;1;16;1;10;2.76;8;51.453;0.67;1.11;0.67;0.16;0.22;0.14
TSAreiaEsterco 2:2:1;1;17;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;1;18;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;1;19;1;18;6.57;13;147.026;4.77;3.07;5.26;1.63;0.92;0.92
TSAreiaEsterco 2:2:1;1;20;1;12;3.82;9;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;2; 1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;2; 2;1;18;5.26;8;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;2; 3;1;12;3.27;7;272.64;2.03;1.6;1.19;0.7;0.87;0.4
TSAreiaEsterco 2:2:1;2; 4;1;13;6.3;7;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;2; 5;1;20;5.7;10;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;2; 6;1;16;4.3;13;52.926;1.97;1.79;1.05;0.71;0.56;0.27
TSAreiaEsterco 2:2:1;2; 7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;2; 8;1;15;3.1;8;135.912;2.51;2.13;1.32;0.96;0.73;0.51
TSAreiaEsterco 2:2:1;2; 9;1;18;4.66;11;289.398;4.85;4.01;1.64;1.85;1.43;0.47
TSAreiaEsterco 2:2:1;2;10;1;9;4.04;8;63.74;0.5;1.6;0.73;0.15;0.25;0.14
TSAreiaEsterco 2:2:1;2;11;1;4;3.15;6;158.598;2.91;0.9;0.61;0.66;0.26;0.21
TSAreiaEsterco 2:2:1;2;12;1;7;2.67;3;172.358;3.05;2.22;1.69;1.09;0.8;0.55
TSAreiaEsterco 2:2:1;2;13;1;12;3.41;7;229.47;2.99;1.57;1.2;1.14;0.58;0.38
TSAreiaEsterco 2:2:1;2;14;1;22;6.94;10;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;2;15;1;17;3.29;3;46.08;0.62;1.53;0.75;0.24;0.47;0.25
TSAreiaEsterco 2:2:1;2;16;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;2;17;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;2;18;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;2;19;1;12;5.17;9;262.454;1.31;1.59;1.22;0.68;0.46;0.33
TSAreiaEsterco 2:2:1;2;20;1;17;4.34;9;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3; 1;1;4;3.06;7;141.2;1.4;0.64;1.33;0.58;0.25;0.47
TSAreiaEsterco 2:2:1;3; 2;1;6;2.19;6;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3; 3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3; 4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3; 5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3; 6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3; 7;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3; 8;1;10;3.35;6;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3; 9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3;10;1;2;3.05;5;54.041;0.51;0.28;0.14;0.2;0.09;0.07
TSAreiaEsterco 2:2:1;3;11;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3;12;1;4;2.99;7;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3;13;1;5;2.32;8;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3;14;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3;15;1;4;2.73;8;133.787;1.82;0.6;1.22;0.61;0.2;0.42
TSAreiaEsterco 2:2:1;3;16;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3;17;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3;18;1;4;3.22;6;183.035;1.42;1.2;1.75;0.52;0.38;0.51
TSAreiaEsterco 2:2:1;3;19;1;6;2.46;6;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;3;20;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;4; 1;1;3;3.08;8;62.41;0.86;0.59;0.39;0.36;0.22;0.16
TSAreiaEsterco 2:2:1;4; 2;1;5;2.48;8;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;4; 3;1;5;2.78;8;110.931;1.38;0.7;0.62;0.72;0.3;0.23
TSAreiaEsterco 2:2:1;4; 4;1;4;3.02;5;72.72;0.98;1.44;0.88;0.44;0.44;0.33
TSAreiaEsterco 2:2:1;4; 5;1;5;3.21;5;67.36;0.84;0.66;0.45;0.36;0.27;0.17
TSAreiaEsterco 2:2:1;4; 6;1;2;2.44;5;78.402;0.74;0.67;0.51;0.26;0.24;0.19
TSAreiaEsterco 2:2:1;4; 7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;4; 8;1;5;2.39;5;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;4; 9;1;4;2.29;7;97.11;1.2;0.52;0.81;0.55;0.22;0.32
TSAreiaEsterco 2:2:1;4;10;1;5;2.44;7;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;4;11;1;4;2.45;6;58.824;0.55;0.58;0.52;0.23;0.17;0.17
TSAreiaEsterco 2:2:1;4;12;1;5;2.91;6;92.098;1.27;0.74;0.95;0.54;0.28;0.38
TSAreiaEsterco 2:2:1;4;13;1;13;3.9;8;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;4;14;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;4;15;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;4;16;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;4;17;1;5;3.83;8;81.62;1.13;0.74;0.76;0.47;0.27;0.25
TSAreiaEsterco 2:2:1;4;18;1;7;3.31;9;118.632;2.09;0.71;2.07;0.74;0.31;0.72
TSAreiaEsterco 2:2:1;4;19;1;10;5.32;11;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;4;20;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;5; 1;1;6;2;8;116.173;0.43;0.98;1.5;0.13;0.28;0.36
TSAreiaEsterco 2:2:1;5; 2;1;9;3.38;8;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;5; 3;1;8;3.58;9;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;5; 4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;5; 5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;5; 6;1;3;2.83;7;80.387;1.58;0.35;0.5;0.53;0.11;0.15
TSAreiaEsterco 2:2:1;5; 7;1;3;1.85;8;82.572;1.3;0.55;0.74;0.47;0.17;0.18
TSAreiaEsterco 2:2:1;5; 8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;5; 9;1;9;4.25;6;205.276;2.62;2.47;4.01;0.95;0.76;1.09
TSAreiaEsterco 2:2:1;5;10;1;19;5.19;10;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;5;11;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;5;12;1;6;3.06;6;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;5;13;1;5;1.31;7;81.198;0.52;0.44;0.59;0.19;0.12;0.13
TSAreiaEsterco 2:2:1;5;14;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;5;15;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;5;16;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;5;17;1;4;3.42;6;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;5;18;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;5;19;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSAreiaEsterco 2:2:1;5;20;1;10;3.16;8;87.36;1.68;1.58;1.85;0.69;0.54;0.5
TSEstBovino 3:1;1; 1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1; 2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1; 3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1; 4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1; 5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1; 6;1;17;6.49;10;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1; 7;1;13;5.13;8;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1; 8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1; 9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1;11;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1;12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1;13;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1;14;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1;15;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1;16;1;16;5.22;8;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1;17;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1;18;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1;19;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;1;20;1;12;3.16;8;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2; 1;1;11;3.66;7;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2; 2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2; 3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2; 4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2; 5;1;9;3.44;8;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2; 6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2; 7;1;9;3.76;5;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2; 8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2; 9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2;11;1;19;5.41;9;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2;12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2;13;1;17;5.24;8;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2;14;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2;15;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2;16;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2;17;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2;18;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2;19;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;2;20;1;19;0.8;8;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3; 1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3; 2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3; 3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3; 4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3; 5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3; 6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3; 7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3; 8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3; 9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3;11;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3;12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3;13;1;4;2.75;6;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3;14;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3;15;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3;16;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3;17;1;5;2.51;7;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3;18;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3;19;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;3;20;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4; 1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4; 2;1;4;2.68;7;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4; 3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4; 4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4; 5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4; 6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4; 7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4; 8;1;5;2.82;5;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4; 9;1;5;3.21;8;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4;10;1;6;3.04;8;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4;11;1;5.5;2.57;6;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4;12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4;13;1;4;2.61;5;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4;14;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4;15;1;6;3.51;8;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4;16;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4;17;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4;18;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4;19;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;4;20;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5; 1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5; 2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5; 3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5; 4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5; 5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5; 6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5; 7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5; 8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5; 9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5;11;1;9;2.49;6;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5;12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5;13;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5;14;1;8.5;2.56;6;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5;15;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5;16;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5;17;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5;18;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5;19;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TSEstBovino 3:1;5;20;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Trimix;1; 1;1;23;4.9;10;NA;NA;NA;NA;NA;NA;NA
