## Dados de resposabilidade do Pesquisador João Peterson Gardim, da
## Epagri SC. Os dados corespondem a medidas feitas em folhas de 3
## cultivares de uva (cult). As medidas feitas foram:
## * mc: maior comprimento central (na vertical) da folha;
## * ml: maior comprimento lateral (na horizontal) da folha;
## * nc: comprimento da nervura central;
## * nle, nld: comprimento da nervura lateral esquerda e direita;
## * cll: comprimento entre as extremidadaes das nervuras laterais;
## Para determinação das áreas foliares, as folhas foram destacas e
## digitalizadas. Com o pacote EBImage do R, as área foliar foi
## determinada. 
##
id	cult	area	mc	nc	ml	nld	nle	cll
malbec2_46.jpg	malbec	208.384302449477	19.5	13.4	11.2	10	10.5	11.7
malbec2_47.jpg	malbec	189.04198533155	18	13.5	14.7	10.2	10.8	14.5
malbec2_48.jpg	malbec	185.531257769306	17.6	12.5	14	11.5	11	14
malbec2_49.jpg	malbec	145.616076396699	15	10.8	14.5	9.1	9.2	12.5
malbec_25.jpg	malbec	118.227532645885	13.5	10	12	9.2	9.2	10.5
malbec2_5.jpg	malbec	105.447023689725	11	8.5	12.5	7.5	8.5	9.1
malbec2_50.jpg	malbec	111.868577373412	12.2	8.8	13	6.9	8.4	9.3
malbec_26.jpg	malbec	147.829625771011	16	12.5	14	10.5	9	11.9
malbec2_6.jpg	malbec	144.503215752898	15.6	11.2	14	8.9	9.8	13.5
malbec_27.jpg	malbec	52.1757757467413	8.5	5.4	9	5.4	4.5	6
malbec2_7.jpg	malbec	93.3950906863035	11.2	7.3	12.2	6.8	6.5	8.1
malbec_28.jpg	malbec	139.815290290883	14.6	11	14	11.3	10.5	12
malbec2_8.jpg	malbec	116.441739081535	12.9	8.6	13	8.6	8	10
malbec_29.jpg	malbec	153.585201913173	16	11.4	12.9	10	10.6	11
malbec2_9.jpg	malbec	145.899508091918	14.7	10.7	14.3	10.1	10.1	11.3
malbec_3.jpg	malbec	210.415865071566	18	14	17.8	11	11	15
malbec_30.jpg	malbec	123.899644239762	14.5	10.4	12.5	9.4	9.8	11.7
malbec_31.jpg	malbec	87.6516864574331	11	7.2	11	7	7.8	8.6
malbec_32.jpg	malbec	171.370106076929	17	11.5	15	10	11	11
malbec_33.jpg	malbec	129.759551067281	15	11.5	13	9	10	12
malbec_34.jpg	malbec	158.598291344549	16.8	12.8	14	10	10	12.5
malbec_35.jpg	malbec	39.8473664271254	6.8	4.5	7.3	5	4.5	5.4
