## Dados de experimento feito por Alexandre Martins Abdão dos Passos
## (http://lattes.cnpq.br/3663394160618071).
##
## O experimento combinou fonte de fertilizante orgânico (fonte, CF=cama
## de framgo, EC=esterco de curral e PC=pó de carvão) nas doses 0, 3, 6,
## e 9 ton/ha e tendo ainda o complemento de 0, 100, 200, 300 e 400
## kg/ha de dose de fertilizante químico (NPK). O delineamento foi de
## blocos casualizados com arranjo de tratamentos em parcela
## subsubdividida. Na parcela a fonte, na subparcela a dose e
## subsubparcela o npk. As respostas avaliadas foram tanto de solo
## quanto de planta, conforme legenda:
##
## AF: área foliar;
## N: nitrogênio;
## P: fósforo;
## K: potássio;
## Ca: cálcio;
## Mg: magnésio;
## S: enxofre;
## B: boro;
## Cu: cobre;
## Mn: manganês;
## Zn: zinco;
## Fe: ferro;
## ACA: nota visual para acamamento, ordinal em escala de 5 níveis (nenhum=1,2,3,4,5=muito);
## prod: produtividade;
## Apta: altura de plantas (cm);
## Ains: altura de inserção do primeiro legume (cm);
## Nleg: número médio de legumes por planta;
## Ngrao: número médio de grãos por legume;
## PCS: peso de 100 sementes;
## 
fonte	dorg	dnpk	bloco	AF	N	P	K	Ca	Mg	S	B	Cu	Mn	ZN	Fe	ACA	prod	Apta	Ains	Nleg	Ngrao	PCS
EC	9	200	3	67.2404	4.50	0.21	1.47	1.29	0.34	0.22	47.33	9.14	51.88	25.80	107.62	2	3896.55	84.6	24.4	31.60	2.23	15.65
EC	9	200	2	25.9700	4.41	0.21	1.32	1.22	0.37	0.23	43.50	7.70	47.60	24.80	96.50	1	2443.97	70.2	25.6	30.10	2.16	13.72
EC	9	300	3	51.4079	4.82	0.22	1.57	1.27	0.36	0.28	45.64	7.87	44.52	22.37	98.26	2	4714.00	79.8	24.2	52.90	1.56	16.91
EC	9	300	1	86.1558	4.58	0.20	1.30	1.40	0.40	0.30	49.10	5.50	37.60	28.90	108.40	2	3290.09	75.2	26.2	30.80	2.27	15.69
EC	9	300	2	67.8563	5.05	0.23	1.38	1.12	0.36	0.25	41.60	7.90	53.50	27.40	101.70	1	3103.84	74.8	28.6	29.50	2.08	14.56
EC	9	400	2	35.7249	4.80	0.23	1.47	1.24	0.39	0.24	46.40	7.80	44.40	27.20	96.00	2	3716.94	82.0	24.6	41.40	2.13	14.56
EC	9	400	3	84.8980	4.69	0.26	1.52	1.35	0.36	0.27	43.73	8.37	57.40	29.21	101.96	2	4058.15	82.6	24.6	45.20	2.29	16.97
EC	9	400	1	61.7066	4.58	0.20	1.20	1.60	0.40	0.30	51.00	6.70	37.90	26.40	98.20	2	4114.93	81.6	26.4	35.30	2.12	15.68
PC	0	0	2	15.8481	4.17	0.16	1.21	1.16	0.31	0.24	38.10	7.90	35.20	24.50	116.10	1	1432.16	55.8	22.6	17.10	1.99	13.50
PC	0	0	3	22.3274	4.05	0.26	1.52	1.35	0.36	0.26	43.73	8.37	57.40	29.20	101.97	1	2250.36	53.8	21.2	19.50	2.06	15.35
PC	0	0	1	23.9910	3.93	0.13	1.19	1.12	0.30	0.28	55.90	5.50	31.60	23.80	109.60	1	1618.45	50.8	18.2	20.80	2.04	14.15
PC	0	100	1	33.3176	4.21	0.16	1.15	1.40	0.34	0.32	52.80	6.30	28.30	25.00	92.30	1	2155.52	63.8	21.8	26.10	2.21	14.35
PC	0	100	3	37.1054	4.34	0.22	1.46	1.37	0.36	0.27	41.27	8.47	41.28	24.03	96.12	1	2671.72	66.0	22.2	34.10	1.92	15.81
PC	0	100	2	21.1037	4.47	0.19	1.42	1.12	0.36	0.22	38.90	7.00	52.20	18.70	86.50	1	1494.44	64.2	23.4	24.50	1.98	13.05
PC	0	200	2	26.2236	4.29	0.19	1.46	1.11	0.36	0.25	41.40	7.60	48.50	21.00	91.70	1	2214.70	69.2	27.4	29.30	2.09	13.47
PC	0	200	1	18.1380	4.31	0.17	1.03	1.61	0.36	0.31	44.10	6.20	30.60	19.40	103.20	1	2851.55	67.2	25.0	30.20	2.24	14.70
PC	0	200	3	35.4893	4.30	0.22	1.57	1.27	0.36	0.28	45.63	7.87	44.54	22.37	98.27	1	2293.71	62.8	21.0	32.60	2.04	16.06
PC	0	300	3	45.9212	4.34	0.21	1.56	1.14	0.34	0.29	39.90	8.13	51.04	23.13	96.79	1	2374.02	73.0	21.0	40.50	2.05	16.00
PC	0	300	1	31.3886	4.25	0.19	1.06	1.46	0.39	0.32	45.70	6.80	34.90	20.70	95.70	1	2271.03	72.8	28.2	36.10	2.05	14.56
PC	0	300	2	53.0280	4.42	0.18	1.35	1.25	0.35	0.26	39.70	7.00	48.60	20.80	110.60	1	2935.34	79.8	23.2	26.40	2.27	14.74
PC	0	400	1	27.0945	4.25	0.20	1.15	1.60	0.37	0.33	49.90	6.60	41.20	21.20	99.70	1	3570.86	70.6	29.4	42.70	2.24	15.61
PC	0	400	3	42.8711	4.42	0.21	1.47	1.29	0.34	0.30	47.33	9.13	51.91	25.80	107.59	1	2735.95	66.2	24.2	40.00	2.17	15.94
PC	0	400	2	27.2231	4.59	0.19	1.42	1.18	0.36	0.27	40.80	7.80	42.50	19.70	101.90	2	2242.82	75.8	28.0	21.60	2.19	14.24
PC	3	0	3	42.7995	3.82	0.21	1.56	1.14	0.34	0.26	39.90	8.13	51.03	23.13	96.80	1	2431.41	61.4	21.0	39.00	1.93	15.69
PC	3	0	2	28.0698	4.14	0.15	1.42	1.04	0.32	0.24	38.00	6.10	36.70	20.40	94.00	1	1575.83	56.0	20.4	24.10	2.18	14.13
PC	3	0	1	19.6211	3.50	0.13	1.15	1.19	0.27	0.27	48.70	5.50	35.90	28.60	109.60	1	1193.23	50.2	25.6	10.60	2.10	14.76
PC	3	100	2	28.2356	4.89	0.21	1.60	1.19	0.35	0.25	43.50	8.00	38.50	23.10	102.40	2	1960.86	81.2	28.2	37.50	2.06	13.73
PC	3	100	1	40.6908	3.86	0.16	1.03	1.40	0.34	0.30	51.60	5.80	37.90	22.90	92.90	1	2718.05	68.4	26.2	30.30	1.95	14.78
PC	3	100	3	41.5977	4.38	0.22	1.46	1.37	0.36	0.28	41.27	8.47	41.26	24.03	96.14	1	2520.40	73.8	22.2	22.20	2.08	14.23
PC	3	200	1	51.2621	4.23	0.17	1.13	1.34	0.34	0.32	50.90	7.20	31.00	23.00	99.40	1	2733.42	73.6	25.6	28.60	2.09	15.36
PC	3	200	3	46.3534	4.43	0.21	1.47	1.29	0.34	0.29	47.33	9.13	51.90	25.80	107.60	1	3170.43	69.6	21.0	30.00	2.04	14.80
PC	3	200	2	45.6078	4.63	0.18	1.43	1.30	0.35	0.25	45.80	7.60	48.00	21.90	96.20	2	2768.28	84.2	32.8	42.80	1.71	14.38
PC	3	300	1	51.1606	4.23	0.16	1.14	1.29	0.34	0.30	50.80	6.20	29.30	18.90	95.10	1	2486.32	70.6	24.2	26.70	2.20	14.81
PC	3	300	2	56.7096	4.81	0.20	1.46	1.19	0.35	0.27	39.60	8.10	51.80	22.20	100.40	1	2925.56	74.2	25.8	33.20	2.11	14.75
PC	3	300	3	62.8684	4.52	0.22	1.57	1.27	0.36	0.29	45.63	7.87	44.53	22.37	98.27	1	3324.71	75.6	26.4	30.50	2.10	15.48
PC	3	400	2	48.9787	4.69	0.19	1.39	1.28	0.36	0.24	48.10	6.80	42.10	19.00	97.60	2	3365.34	75.8	28.2	30.00	2.09	14.32
PC	3	400	1	26.3007	3.99	0.17	1.04	1.52	0.35	0.30	55.30	6.30	35.20	20.50	106.80	1	3648.97	80.6	26.2	31.20	2.23	15.54
PC	3	400	3	61.2958	4.34	0.26	1.52	1.35	0.36	0.27	43.73	8.37	57.40	29.20	101.96	2	2986.67	74.8	22.4	39.60	1.92	15.44
PC	6	0	2	60.6247	3.85	0.14	1.39	1.24	0.28	0.22	47.20	6.40	59.90	28.00	98.60	1	1590.98	55.0	20.4	15.00	1.87	14.73
PC	6	0	3	60.8397	3.89	0.21	1.47	1.29	0.34	0.26	47.33	9.13	51.90	25.80	107.60	1	2332.20	60.0	22.6	33.10	2.03	15.12
PC	6	0	1	54.0319	3.92	0.14	1.14	1.31	0.33	0.29	46.90	6.10	30.80	24.70	101.50	1	1673.56	58.0	26.0	21.50	2.17	14.80
PC	6	100	3	49.2637	4.29	0.21	1.56	1.14	0.34	0.28	39.90	8.13	51.03	23.13	96.80	1	3172.67	68.2	22.4	34.80	2.06	15.30
PC	6	100	2	32.5682	4.44	0.18	1.43	1.16	0.32	0.24	43.30	7.40	56.90	23.00	90.20	1	2644.83	71.0	27.6	25.60	2.18	15.05
PC	6	100	1	55.0249	4.14	0.18	1.21	1.34	0.36	0.31	55.60	6.60	31.90	21.90	94.70	1	2870.46	70.8	23.6	21.20	1.96	15.11
PC	6	200	1	104.5080	4.21	0.17	1.18	1.31	0.33	0.29	60.10	6.20	32.40	23.20	100.10	1	2685.34	64.8	25.2	34.90	1.74	15.39
PC	6	200	2	58.1306	4.50	0.19	1.39	1.28	0.36	0.25	44.70	7.40	52.60	21.50	100.20	1	2633.19	75.8	25.2	23.40	2.12	14.74
PC	6	200	3	72.1867	4.36	0.22	1.57	1.27	0.36	0.27	45.63	7.87	44.54	22.37	98.27	1	2841.67	71.0	22.4	26.40	2.13	15.34
PC	6	300	3	74.0942	4.41	0.22	1.46	1.37	0.36	0.29	41.27	8.47	41.27	24.03	96.13	1	3247.76	69.4	29.6	26.70	2.25	15.70
PC	6	300	1	61.0692	4.12	0.17	1.21	1.21	0.32	0.31	51.10	6.40	28.10	23.10	86.80	1	2360.80	68.4	25.2	24.30	2.20	15.45
PC	6	300	2	58.3394	4.69	0.19	1.48	1.11	0.33	0.26	40.20	7.20	50.80	22.10	87.00	1	2915.52	74.6	30.2	27.80	2.30	15.04
PC	6	400	1	41.0259	4.33	0.19	1.17	1.76	0.36	0.31	52.00	6.10	36.50	20.80	130.10	2	2880.39	75.4	31.4	28.10	2.18	15.78
PC	6	400	2	47.1984	5.05	0.25	1.54	1.32	0.37	0.28	44.60	8.70	59.40	26.40	105.90	1	3295.63	81.8	25.6	32.70	2.04	15.38
PC	6	400	3	88.0646	4.69	0.26	1.52	1.35	0.36	0.30	43.73	8.37	57.40	29.20	101.97	1	3487.03	77.6	26.4	37.80	2.13	16.13
PC	9	0	1	39.4331	3.88	0.15	1.26	1.19	0.33	0.29	55.70	6.10	33.20	25.50	89.00	1	1680.79	63.4	24.6	23.80	2.08	14.46
PC	9	0	3	53.6290	4.85	0.26	1.52	1.35	0.36	0.28	43.73	8.37	57.40	29.20	101.97	2	2963.33	69.8	23.6	32.70	1.98	15.09
PC	9	0	2	34.7555	5.82	0.26	1.51	1.37	0.36	0.26	43.30	8.20	56.40	30.60	100.00	1	2626.21	67.2	25.4	46.20	1.94	14.99
PC	9	100	3	114.5176	4.17	0.22	1.46	1.37	0.36	0.28	41.27	8.47	41.27	24.03	96.13	1	2710.26	66.4	24.6	29.40	1.86	15.15
PC	9	100	2	69.5258	4.41	0.23	1.45	1.50	0.38	0.25	41.80	9.10	36.50	25.00	100.70	3	2902.73	80.4	30.6	27.40	1.76	15.98
PC	9	100	1	61.7658	3.93	0.20	1.20	1.20	0.30	0.30	52.50	5.60	32.10	21.40	86.30	1	2196.95	65.0	28.6	30.00	2.22	14.53
PC	9	200	1	32.9784	3.91	0.20	1.10	1.40	0.40	0.30	56.40	5.40	36.20	21.30	91.50	2	2651.95	76.0	25.0	26.80	2.09	15.08
PC	9	200	2	46.4602	4.70	0.24	1.66	1.26	0.36	0.25	46.10	8.10	40.50	22.80	97.30	2	3337.50	78.4	28.2	32.20	2.09	15.71
PC	9	200	3	30.8352	4.31	0.22	1.57	1.27	0.36	0.28	45.63	7.87	44.53	22.37	98.27	2	3063.05	73.0	23.6	34.00	2.12	15.51
PC	9	300	3	88.9950	4.57	0.21	1.56	1.14	0.34	0.29	39.90	8.13	51.03	23.13	96.80	1	2803.30	68.2	25.0	29.30	2.18	16.33
PC	9	300	2	47.9930	4.99	0.22	1.63	1.13	0.35	0.27	38.20	8.50	48.10	23.20	100.10	1	3301.08	79.0	28.0	42.00	2.18	15.30
PC	9	300	1	47.8041	4.14	0.20	1.10	1.50	0.40	0.30	56.20	5.70	34.00	22.10	93.00	2	2643.07	71.4	28.6	25.00	2.08	15.27
PC	9	400	2	61.4516	4.49	0.24	1.51	1.32	0.37	0.30	47.40	10.50	47.90	24.70	112.10	2	3613.43	82.4	31.8	37.30	2.01	16.47
PC	9	400	1	46.7295	4.12	0.20	1.10	1.60	0.40	0.30	56.10	5.50	38.50	23.50	97.80	1	2880.46	78.8	30.4	31.40	2.13	15.45
PC	9	400	3	82.4175	4.31	0.21	1.47	1.29	0.34	0.30	47.33	9.13	51.90	25.80	107.60	1	3162.59	69.4	21.2	38.90	2.33	15.70

