id;tam;quar;banh;valor
aviso-2927572329;92;3;2;470000
aviso-2928210677;92;3;2;217000
aviso-2925724856;86;1;2;610000
aviso-2927987272;83;3;2;360000
aviso-2927021644;66;2;1;407000
aviso-915927381;143;4;1;807450
aviso-2927698806;92;3;1;360000
aviso-2927503066;60;2;1;280000
aviso-2927676647;71;3;1;194000
aviso-2927075498;113;3;4;587000
aviso-915928411;32;1;1;180000
aviso-2927350374;130;2;2;650000
aviso-2926492946;143;4;3;739000
aviso-2926679722;100;3;1;390000
aviso-2927111168;143;3;3;888000
aviso-2926967192;66;2;1;421000
aviso-2928164241;76;3;2;343200
aviso-2926084814;62;2;2;3e+05
aviso-2927327294;74;3;2;349000
aviso-2927310021;85;3;1;390000
aviso-2927384608;65;2;2;290000
aviso-2927844045;83;3;2;574000
aviso-2927981467;82;3;2;556000
aviso-2927793602;83;3;2;574000
aviso-2926914642;113;3;3;587000
aviso-2926573039;70;2;2;495000
aviso-1002076178;43;2;1;180000
aviso-2924836121;64;3;2;399000
aviso-2926725632;130;3;2;375000
aviso-2927435531;113;2;4;650000
aviso-2927739488;64;2;2;363000
aviso-2927050656;64;1;2;339000
aviso-2925121083;130;2;2;635000
aviso-2927142437;77;3;2;460000
aviso-2926638490;88;3;2;320000
aviso-2927647154;66;2;2;475850
aviso-2927161875;143;3;4;788400
aviso-2926233168;28;1;1;169000
aviso-2926887681;66;2;2;415000
aviso-2927190765;143;4;4;788000
aviso-2928073306;100;3;2;285600
aviso-2924961990;49;1;1;256000
aviso-2927419300;62;2;2;325000
aviso-2927834198;76;3;2;343200
aviso-2922540750;60;2;1;449218
aviso-2927815753;129;2;2;590000
aviso-1002010220;69;2;2;268000
aviso-2924532359;143;3;5;780000
aviso-2927738288;182;3;3;1250000
aviso-2924895947;166;3;3;1230000
aviso-2927693326;113;3;4;621000
aviso-2927675607;140;4;3;850000
aviso-2926385663;93;3;2;425000
aviso-2927349020;89;3;2;480800
aviso-2927197772;143;3;5;888000
aviso-2926907658;123;3;3;840000
aviso-2927142438;66;2;2;440000
