id;tam;quar;banh;valor
aviso-2926288410;39;1;1;170000
aviso-2927886406;130;2;3;635000
aviso-2927482728;113;2;2;650000
aviso-2927492344;0;2;2;369000
aviso-2928055109;84;3;2;575000
aviso-2928099213;91;3;3;435000
aviso-2928099218;39;1;1;230000
aviso-2928099246;97;3;3;435000
aviso-2928099843;0;3;3;750000
aviso-2925960451;33;2;1;2e+05
aviso-2928097761;81;2;1;270000
aviso-2925326582;71;3;2;350000
aviso-2925489613;66;1;1;390000
aviso-2925568205;143;3;4;950000
aviso-2925568207;182;3;5;1350000
aviso-2925568299;113;3;3;705000
aviso-2925609526;90;3;2;395000
aviso-2925688258;143;3;3;920000
aviso-2925688296;113;3;2;820000
aviso-2925688305;77;2;1;318000
aviso-2925690929;31;1;1;180000
aviso-2926722070;70;2;2;315000
aviso-2926914662;143;3;4;788400
aviso-2927216165;113;3;2;635000
aviso-2927216661;113;3;2;635000
aviso-2927218359;143;3;2;788000
aviso-2927218446;143;3;2;788000
aviso-2927234815;182;4;5;990000
aviso-2927484325;32;1;1;175000
aviso-2927810660;83;3;2;574000
aviso-2926424836;143;4;3;768700
aviso-1001363207;42;1;1;160000
aviso-2928253679;60;2;1;280000
aviso-2927807142;113;2;2;613200
aviso-2927331163;66;2;2;514000
aviso-2927331164;77;3;2;639000
aviso-2927384630;90;3;2;430000
aviso-2927347321;143;2;3;1130000
aviso-2927282602;76;3;1;343200
aviso-2926674916;108;3;2;696000
aviso-2926727676;143;4;4;970000
aviso-2926735634;180;3;2;1136000
aviso-2926743808;186;3;3;8e+05
aviso-2926743809;111;3;4;999000
aviso-2928013520;69;3;2;330000
aviso-2928152991;60;2;1;280000
aviso-2927099243;113;3;4;638820
aviso-2927109421;55;2;1;259000
aviso-2927109423;62;2;2;270000
aviso-2927209563;76;3;2;343200
aviso-2926810883;117;3;2;560000
aviso-2926873101;182;4;5;1310000
aviso-2926974196;70;1;2;325000
aviso-2927687734;113;2;3;650000
aviso-2927764965;178;4;4;690000
aviso-2927799692;64;3;2;395000
aviso-2927466952;93;3;3;435000
aviso-2928024586;64;3;2;395000
aviso-2928127223;113;3;3;587000
aviso-2925510433;45;1;1;194000
aviso-2925674010;91;3;3;390000
aviso-2925793389;74;3;1;320000
aviso-2926044348;89;1;2;530000
aviso-2923548663;32;1;1;190000
aviso-2924689760;29;1;1;175000
aviso-2927350595;143;3;3;789000
aviso-2927352830;77;3;2;480000
aviso-2927358217;180;3;4;1077000
aviso-2928102152;113;2;3;835000
aviso-2928102154;106;3;2;458000
aviso-2928209973;87;3;3;355000
aviso-2928236361;91;3;2;560000
aviso-2926781094;166;3;2;490000
aviso-2927422829;86;3;1;565000
aviso-2923613682;96;3;1;335000
aviso-2926319550;93;3;2;510000
aviso-2925296115;77;3;1;370000
aviso-2928149957;108;3;3;706000
aviso-2928149974;130;2;2;449000
aviso-2928149975;108;3;3;639000
aviso-2927496279;32;1;1;260000
aviso-2926556870;64;3;2;343200
aviso-2926949682;76;3;1;225000
aviso-2927028570;32;1;1;229000
aviso-1001340973;196;3;4;1100000
aviso-1001886549;98;3;2;350000
aviso-1000891058;75;3;2;270000
aviso-1000288374;60;2;1;299000
aviso-1000288375;67;2;2;335000
aviso-1000288376;32;1;1;193000
aviso-1001167209;149;3;2;950000
aviso-2928122244;44;1;1;275000
aviso-2928154823;42;2;1;155000
aviso-2928154829;143;3;2;1150000
