## Experimento conduzido por Fabio Raphael Pascoti Bruhn
## (http://lattes.cnpq.br/6027763770110766), acadêmico de Mestrado em
## Ciências Veterinárias  da UFLA (2010-2012).
##
## Os dados são da avaliação do ganho de peso de vacas da raça holandesa
## holandesa dividas em grupos para cada um dos 5 tratamentos de endo e
## exo parasitas. O experimento foi repetido 3 vezes, sendo 2 nas
## estações de seca e 1 uma na estação das chuvas. As vacas avaliadas
## não são as mesmas quando muda a estação. Elas pesadas em intervalos
## aproximados de 30 dias após o início da estação.  Os tratamentos
## foram: ivermectina 1% (genérico) (T1); sulfóxido de albendazol 10%
## (T2); abamectina 1% (T3); doramectina 1% (T4) e ivermectina 1%
## (referência) (T5). Os diferentes tratamentos foram escolhidos por
## serem comumente aplicados por pecuaristas na região. Quanto às
## ivermectinas (uma "genérica" e outra "referência"), optou-se por
## duas, por possuírem preços de mercado completamente diferentes
## (R$0,062 e R$0,292/mL, respectivamente). Aplicou-se 1 mL do produto
## para cada 50 kg de peso vivo, para todos os tratamentos, exceto no
## tratamento 2, que foi 1 mL para cada 40 kg de peso vivo. Ocorreram
## duas aplicações dos medicamentos durante o período experimental,
## sendo uma no primeiro dia e a outra 90 dias após. Dentro de cada
## estação trata-se de um experimento inteiramente casualizado com
## unidades experimentais (vacas) avaliadas ao longo do tempo
## (longitudinal/medidas repetidas).
##
vaca	peso	helmintico	mes	dias	estacao
755	253	ivermectina genérico 1%	6	68	seca2
767	224.6	ivermectina genérico 1%	6	68	seca2
772	237	ivermectina genérico 1%	6	68	seca2
778	241.2	ivermectina genérico 1%	6	68	seca2
744	265.2	ivermectina genérico 1%	7	96	seca2
752	260.2	ivermectina genérico 1%	7	96	seca2
754	287	ivermectina genérico 1%	7	96	seca2
755	267.8	ivermectina genérico 1%	7	96	seca2
760	259.4	ivermectina genérico 1%	7	96	seca2
767	231	ivermectina genérico 1%	7	96	seca2
772	258	ivermectina genérico 1%	7	96	seca2
778	250	ivermectina genérico 1%	7	96	seca2
744	317	ivermectina genérico 1%	9	172	seca2
752	317	ivermectina genérico 1%	9	172	seca2
754	347	ivermectina genérico 1%	9	172	seca2
755	354	ivermectina genérico 1%	9	172	seca2
760	318	ivermectina genérico 1%	9	172	seca2
767	288	ivermectina genérico 1%	9	172	seca2
772	314	ivermectina genérico 1%	9	172	seca2
778	312	ivermectina genérico 1%	9	172	seca2
733	267	sulfóxido de albendazol 10%	4	0	seca2
743	228.2	sulfóxido de albendazol 10%	4	0	seca2
753	229.4	sulfóxido de albendazol 10%	4	0	seca2
771	140	sulfóxido de albendazol 10%	4	0	seca2
775	228.2	sulfóxido de albendazol 10%	4	0	seca2
780	220	sulfóxido de albendazol 10%	4	0	seca2
782	210	sulfóxido de albendazol 10%	4	0	seca2
785	216	sulfóxido de albendazol 10%	4	0	seca2
794	204.4	sulfóxido de albendazol 10%	4	0	seca2
733	300	sulfóxido de albendazol 10%	5	39	seca2
743	263	sulfóxido de albendazol 10%	5	39	seca2
753	259.6	sulfóxido de albendazol 10%	5	39	seca2
771	211	sulfóxido de albendazol 10%	5	39	seca2
775	252.2	sulfóxido de albendazol 10%	5	39	seca2
780	220	sulfóxido de albendazol 10%	5	39	seca2
782	212	sulfóxido de albendazol 10%	5	39	seca2
785	234.2	sulfóxido de albendazol 10%	5	39	seca2
794	231.6	sulfóxido de albendazol 10%	5	39	seca2
733	312.2	sulfóxido de albendazol 10%	6	68	seca2
743	272	sulfóxido de albendazol 10%	6	68	seca2
753	271.6	sulfóxido de albendazol 10%	6	68	seca2
771	230.2	sulfóxido de albendazol 10%	6	68	seca2
775	252	sulfóxido de albendazol 10%	6	68	seca2
780	225	sulfóxido de albendazol 10%	6	68	seca2
782	227	sulfóxido de albendazol 10%	6	68	seca2
785	240.2	sulfóxido de albendazol 10%	6	68	seca2
794	244.8	sulfóxido de albendazol 10%	6	68	seca2
733	316	sulfóxido de albendazol 10%	7	96	seca2
743	276	sulfóxido de albendazol 10%	7	96	seca2
753	284	sulfóxido de albendazol 10%	7	96	seca2
771	225	sulfóxido de albendazol 10%	7	96	seca2
775	280	sulfóxido de albendazol 10%	7	96	seca2
780	228	sulfóxido de albendazol 10%	7	96	seca2
782	256	sulfóxido de albendazol 10%	7	96	seca2
785	261	sulfóxido de albendazol 10%	7	96	seca2
794	244	sulfóxido de albendazol 10%	7	96	seca2
733	398	sulfóxido de albendazol 10%	9	172	seca2
743	326	sulfóxido de albendazol 10%	9	172	seca2
753	369	sulfóxido de albendazol 10%	9	172	seca2
771	287	sulfóxido de albendazol 10%	9	172	seca2
775	329	sulfóxido de albendazol 10%	9	172	seca2
780	304	sulfóxido de albendazol 10%	9	172	seca2
782	264	sulfóxido de albendazol 10%	9	172	seca2
785	324	sulfóxido de albendazol 10%	9	172	seca2
794	313	sulfóxido de albendazol 10%	9	172	seca2
702	266	abamectina 1%	4	0	seca2
705	264.4	abamectina 1%	4	0	seca2
710	230.4	abamectina 1%	4	0	seca2
716	247	abamectina 1%	4	0	seca2
745	212.8	abamectina 1%	4	0	seca2
756	162	abamectina 1%	4	0	seca2
761	231.4	abamectina 1%	4	0	seca2
769	202	abamectina 1%	4	0	seca2
776	194	abamectina 1%	4	0	seca2
702	301.2	abamectina 1%	5	39	seca2
705	289.4	abamectina 1%	5	39	seca2
710	249	abamectina 1%	5	39	seca2
716	288.2	abamectina 1%	5	39	seca2
745	240	abamectina 1%	5	39	seca2
756	194	abamectina 1%	5	39	seca2
761	254.6	abamectina 1%	5	39	seca2
769	232	abamectina 1%	5	39	seca2
776	237.2	abamectina 1%	5	39	seca2
702	317	abamectina 1%	6	68	seca2
705	302	abamectina 1%	6	68	seca2
710	263	abamectina 1%	6	68	seca2
716	285.6	abamectina 1%	6	68	seca2
745	254.4	abamectina 1%	6	68	seca2
756	205.4	abamectina 1%	6	68	seca2
769	240.4	abamectina 1%	6	68	seca2
776	235.2	abamectina 1%	6	68	seca2
702	326.2	abamectina 1%	7	96	seca2
705	317	abamectina 1%	7	96	seca2
710	264	abamectina 1%	7	96	seca2
716	297	abamectina 1%	7	96	seca2
745	285	abamectina 1%	7	96	seca2
756	239	abamectina 1%	7	96	seca2
761	262	abamectina 1%	7	96	seca2
776	254.4	abamectina 1%	7	96	seca2
702	379	abamectina 1%	9	172	seca2
705	348	abamectina 1%	9	172	seca2
710	354	abamectina 1%	9	172	seca2
716	380	abamectina 1%	9	172	seca2
745	343	abamectina 1%	9	172	seca2
756	320	abamectina 1%	9	172	seca2
761	337	abamectina 1%	9	172	seca2
769	291	abamectina 1%	9	172	seca2
776	324	abamectina 1%	9	172	seca2
708	259.6	doramectina 1%	4	0	seca2
724	241.6	doramectina 1%	4	0	seca2
739	221	doramectina 1%	4	0	seca2
741	215.2	doramectina 1%	4	0	seca2
747	231.2	doramectina 1%	4	0	seca2
762	204.4	doramectina 1%	4	0	seca2
768	186.6	doramectina 1%	4	0	seca2
777	180.6	doramectina 1%	4	0	seca2
786	186.8	doramectina 1%	4	0	seca2
708	303.4	doramectina 1%	5	39	seca2
724	259	doramectina 1%	5	39	seca2
739	264.6	doramectina 1%	5	39	seca2
741	251.2	doramectina 1%	5	39	seca2
747	266	doramectina 1%	5	39	seca2
777	204	doramectina 1%	5	39	seca2
786	208.4	doramectina 1%	5	39	seca2
708	320.2	doramectina 1%	6	68	seca2
724	263.4	doramectina 1%	6	68	seca2
739	261	doramectina 1%	6	68	seca2
741	261	doramectina 1%	6	68	seca2
747	268	doramectina 1%	6	68	seca2
768	227	doramectina 1%	6	68	seca2
777	223	doramectina 1%	6	68	seca2
786	211.4	doramectina 1%	6	68	seca2
708	324	doramectina 1%	7	96	seca2
724	281.4	doramectina 1%	7	96	seca2
739	264	doramectina 1%	7	96	seca2
741	264	doramectina 1%	7	96	seca2
747	267	doramectina 1%	7	96	seca2
768	238	doramectina 1%	7	96	seca2
777	258	doramectina 1%	7	96	seca2
786	235	doramectina 1%	7	96	seca2
708	389	doramectina 1%	9	172	seca2
724	347	doramectina 1%	9	172	seca2
739	326	doramectina 1%	9	172	seca2
741	321	doramectina 1%	9	172	seca2
747	344	doramectina 1%	9	172	seca2
768	319	doramectina 1%	9	172	seca2
777	299	doramectina 1%	9	172	seca2
786	306	doramectina 1%	9	172	seca2
715	234.6	ivermectina 1%	4	0	seca2
740	240.2	ivermectina 1%	4	0	seca2
742	217.8	ivermectina 1%	4	0	seca2
750	225	ivermectina 1%	4	0	seca2
757	230.4	ivermectina 1%	4	0	seca2
763	222	ivermectina 1%	4	0	seca2
774	207.4	ivermectina 1%	4	0	seca2
779	159.2	ivermectina 1%	4	0	seca2
792	209	ivermectina 1%	4	0	seca2
715	263	ivermectina 1%	5	39	seca2
740	275.6	ivermectina 1%	5	39	seca2
750	244	ivermectina 1%	5	39	seca2
757	255.4	ivermectina 1%	5	39	seca2
763	242	ivermectina 1%	5	39	seca2
774	222.6	ivermectina 1%	5	39	seca2
779	184	ivermectina 1%	5	39	seca2
792	223.4	ivermectina 1%	5	39	seca2
715	279.2	ivermectina 1%	6	68	seca2
740	275	ivermectina 1%	6	68	seca2
742	257.6	ivermectina 1%	6	68	seca2
750	268.2	ivermectina 1%	6	68	seca2
757	265.4	ivermectina 1%	6	68	seca2
763	243.2	ivermectina 1%	6	68	seca2
774	232.8	ivermectina 1%	6	68	seca2
779	198	ivermectina 1%	6	68	seca2
792	233.6	ivermectina 1%	6	68	seca2
715	298	ivermectina 1%	7	96	seca2
740	291	ivermectina 1%	7	96	seca2
742	283	ivermectina 1%	7	96	seca2
750	278.4	ivermectina 1%	7	96	seca2
757	266	ivermectina 1%	7	96	seca2
763	257	ivermectina 1%	7	96	seca2
774	259	ivermectina 1%	7	96	seca2
779	232.8	ivermectina 1%	7	96	seca2
792	243	ivermectina 1%	7	96	seca2
715	365	ivermectina 1%	9	172	seca2
740	339	ivermectina 1%	9	172	seca2
742	344	ivermectina 1%	9	172	seca2
750	332	ivermectina 1%	9	172	seca2
757	347	ivermectina 1%	9	172	seca2
763	324	ivermectina 1%	9	172	seca2
774	318	ivermectina 1%	9	172	seca2
779	291	ivermectina 1%	9	172	seca2
792	305	ivermectina 1%	9	172	seca2
