## Experimento conduzido por Fabio Raphael Pascoti Bruhn
## (http://lattes.cnpq.br/6027763770110766), acadêmico de Mestrado em
## Ciências Veterinárias  da UFLA (2010-2012).
##
## Os dados são da avaliação do ganho de peso de vacas da raça holandesa
## holandesa dividas em grupos para cada um dos 5 tratamentos de endo e
## exo parasitas. O experimento foi repetido 3 vezes, sendo 2 nas
## estações de seca e 1 uma na estação das chuvas. As vacas avaliadas
## não são as mesmas quando muda a estação. Elas pesadas em intervalos
## aproximados de 30 dias após o início da estação.  Os tratamentos
## foram: ivermectina 1% (genérico) (T1); sulfóxido de albendazol 10%
## (T2); abamectina 1% (T3); doramectina 1% (T4) e ivermectina 1%
## (referência) (T5). Os diferentes tratamentos foram escolhidos por
## serem comumente aplicados por pecuaristas na região. Quanto às
## ivermectinas (uma "genérica" e outra "referência"), optou-se por
## duas, por possuírem preços de mercado completamente diferentes
## (R$0,062 e R$0,292/mL, respectivamente). Aplicou-se 1 mL do produto
## para cada 50 kg de peso vivo, para todos os tratamentos, exceto no
## tratamento 2, que foi 1 mL para cada 40 kg de peso vivo. Ocorreram
## duas aplicações dos medicamentos durante o período experimental,
## sendo uma no primeiro dia e a outra 90 dias após. Dentro de cada
## estação trata-se de um experimento inteiramente casualizado com
## unidades experimentais (vacas) avaliadas ao longo do tempo
## (longitudinal/medidas repetidas).
##
vaca	peso	helmintico	mes	dias	estacao
677	205.4	abamectina 1%	9	123	seca1
678	238.6	abamectina 1%	9	123	seca1
689	160.4	abamectina 1%	9	123	seca1
694	210.6	abamectina 1%	9	123	seca1
696	164.4	abamectina 1%	9	123	seca1
655	219.9	doramectina 1%	5	0	seca1
664	146.9	doramectina 1%	5	0	seca1
668	130	doramectina 1%	5	0	seca1
676	163	doramectina 1%	5	0	seca1
686	116.9	doramectina 1%	5	0	seca1
691	108.4	doramectina 1%	5	0	seca1
684	117.8	doramectina 1%	5	0	seca1
655	244	doramectina 1%	6	32	seca1
664	177	doramectina 1%	6	32	seca1
668	163	doramectina 1%	6	32	seca1
676	188.4	doramectina 1%	6	32	seca1
686	123	doramectina 1%	6	32	seca1
691	125	doramectina 1%	6	32	seca1
684	130	doramectina 1%	6	32	seca1
655	273.2	doramectina 1%	7	63	seca1
664	200.6	doramectina 1%	7	63	seca1
668	189.6	doramectina 1%	7	63	seca1
676	218.4	doramectina 1%	7	63	seca1
686	129.2	doramectina 1%	7	63	seca1
691	137.2	doramectina 1%	7	63	seca1
684	140.6	doramectina 1%	7	63	seca1
655	305	doramectina 1%	8	94	seca1
664	238	doramectina 1%	8	94	seca1
668	206	doramectina 1%	8	94	seca1
676	247	doramectina 1%	8	94	seca1
686	147.2	doramectina 1%	8	94	seca1
691	160	doramectina 1%	8	94	seca1
684	172.4	doramectina 1%	8	94	seca1
655	320.6	doramectina 1%	9	123	seca1
664	262.4	doramectina 1%	9	123	seca1
668	234.6	doramectina 1%	9	123	seca1
676	283.6	doramectina 1%	9	123	seca1
686	170.6	doramectina 1%	9	123	seca1
691	194.6	doramectina 1%	9	123	seca1
684	191.6	doramectina 1%	9	123	seca1
658	179.15	ivermectina 1%	5	0	seca1
659	156.9	ivermectina 1%	5	0	seca1
670	162	ivermectina 1%	5	0	seca1
673	120	ivermectina 1%	5	0	seca1
679	139.7	ivermectina 1%	5	0	seca1
690	117.2	ivermectina 1%	5	0	seca1
693	98.4	ivermectina 1%	5	0	seca1
658	215.4	ivermectina 1%	6	32	seca1
659	196	ivermectina 1%	6	32	seca1
670	193	ivermectina 1%	6	32	seca1
673	140.6	ivermectina 1%	6	32	seca1
679	165	ivermectina 1%	6	32	seca1
690	140	ivermectina 1%	6	32	seca1
693	129.4	ivermectina 1%	6	32	seca1
658	246.4	ivermectina 1%	7	63	seca1
659	213	ivermectina 1%	7	63	seca1
670	215	ivermectina 1%	7	63	seca1
673	170	ivermectina 1%	7	63	seca1
679	190.3	ivermectina 1%	7	63	seca1
690	167	ivermectina 1%	7	63	seca1
693	158.6	ivermectina 1%	7	63	seca1
658	291.4	ivermectina 1%	8	94	seca1
659	241.4	ivermectina 1%	8	94	seca1
670	224.2	ivermectina 1%	8	94	seca1
673	202.6	ivermectina 1%	8	94	seca1
679	216	ivermectina 1%	8	94	seca1
690	193.4	ivermectina 1%	8	94	seca1
693	184	ivermectina 1%	8	94	seca1
658	319.6	ivermectina 1%	9	123	seca1
659	265.8	ivermectina 1%	9	123	seca1
670	235	ivermectina 1%	9	123	seca1
673	225	ivermectina 1%	9	123	seca1
679	242.6	ivermectina 1%	9	123	seca1
690	236	ivermectina 1%	9	123	seca1
693	212	ivermectina 1%	9	123	seca1
656	280	ivermectina genérico 1%	10	0	chuva
660	290	ivermectina genérico 1%	10	0	chuva
666	256.6	ivermectina genérico 1%	10	0	chuva
675	226	ivermectina genérico 1%	10	0	chuva
688	231.2	ivermectina genérico 1%	10	0	chuva
697	220	ivermectina genérico 1%	10	0	chuva
681	241.2	ivermectina genérico 1%	10	0	chuva
656	278.2	ivermectina genérico 1%	11	26	chuva
660	303.2	ivermectina genérico 1%	11	26	chuva
666	276	ivermectina genérico 1%	11	26	chuva
675	251.2	ivermectina genérico 1%	11	26	chuva
688	253	ivermectina genérico 1%	11	26	chuva
697	221	ivermectina genérico 1%	11	26	chuva
681	236	ivermectina genérico 1%	11	26	chuva
656	314	ivermectina genérico 1%	12	53	chuva
660	310.4	ivermectina genérico 1%	12	53	chuva
666	285.4	ivermectina genérico 1%	12	53	chuva
675	246	ivermectina genérico 1%	12	53	chuva
688	278	ivermectina genérico 1%	12	53	chuva
697	232.6	ivermectina genérico 1%	12	53	chuva
681	233.1	ivermectina genérico 1%	12	53	chuva
656	309.4	ivermectina genérico 1%	1	92	chuva
660	300	ivermectina genérico 1%	1	92	chuva
666	272.6	ivermectina genérico 1%	1	92	chuva
675	240.4	ivermectina genérico 1%	1	92	chuva
688	289	ivermectina genérico 1%	1	92	chuva
697	230.2	ivermectina genérico 1%	1	92	chuva
681	262	ivermectina genérico 1%	1	92	chuva
656	327	ivermectina genérico 1%	2	126	chuva
660	294	ivermectina genérico 1%	2	126	chuva
666	281.2	ivermectina genérico 1%	2	126	chuva
675	243	ivermectina genérico 1%	2	126	chuva
688	310.6	ivermectina genérico 1%	2	126	chuva
697	244.8	ivermectina genérico 1%	2	126	chuva
681	269	ivermectina genérico 1%	2	126	chuva
656	333.2	ivermectina genérico 1%	3	145	chuva
660	303.6	ivermectina genérico 1%	3	145	chuva
666	290.2	ivermectina genérico 1%	3	145	chuva
675	251.6	ivermectina genérico 1%	3	145	chuva
688	326	ivermectina genérico 1%	3	145	chuva
697	258	ivermectina genérico 1%	3	145	chuva
681	280	ivermectina genérico 1%	3	145	chuva
656	351.4	ivermectina genérico 1%	5	198	chuva
660	328	ivermectina genérico 1%	5	198	chuva
666	325	ivermectina genérico 1%	5	198	chuva
675	258.8	ivermectina genérico 1%	5	198	chuva
688	360.2	ivermectina genérico 1%	5	198	chuva
697	278	ivermectina genérico 1%	5	198	chuva
681	316.6	ivermectina genérico 1%	5	198	chuva
656	374	ivermectina genérico 1%	6	227	chuva
660	331.2	ivermectina genérico 1%	6	227	chuva
666	322.6	ivermectina genérico 1%	6	227	chuva
688	366.2	ivermectina genérico 1%	6	227	chuva
697	281.8	ivermectina genérico 1%	6	227	chuva
681	332.8	ivermectina genérico 1%	6	227	chuva
657	274	sulfóxido de albendazol 10%	10	0	chuva
662	293	sulfóxido de albendazol 10%	10	0	chuva
671	255.8	sulfóxido de albendazol 10%	10	0	chuva
680	202	sulfóxido de albendazol 10%	10	0	chuva
687	223.2	sulfóxido de albendazol 10%	10	0	chuva
683	247.6	sulfóxido de albendazol 10%	10	0	chuva
682	221	sulfóxido de albendazol 10%	10	0	chuva
657	275.2	sulfóxido de albendazol 10%	11	26	chuva
662	291.2	sulfóxido de albendazol 10%	11	26	chuva
671	254	sulfóxido de albendazol 10%	11	26	chuva
680	234	sulfóxido de albendazol 10%	11	26	chuva
687	231	sulfóxido de albendazol 10%	11	26	chuva
683	242	sulfóxido de albendazol 10%	11	26	chuva
682	231	sulfóxido de albendazol 10%	11	26	chuva
657	270	sulfóxido de albendazol 10%	12	53	chuva
662	312.4	sulfóxido de albendazol 10%	12	53	chuva
671	254	sulfóxido de albendazol 10%	12	53	chuva
680	251.8	sulfóxido de albendazol 10%	12	53	chuva
687	243.6	sulfóxido de albendazol 10%	12	53	chuva
683	242.6	sulfóxido de albendazol 10%	12	53	chuva
682	234	sulfóxido de albendazol 10%	12	53	chuva
657	275.2	sulfóxido de albendazol 10%	1	92	chuva
662	313.4	sulfóxido de albendazol 10%	1	92	chuva
671	257	sulfóxido de albendazol 10%	1	92	chuva
680	231.4	sulfóxido de albendazol 10%	1	92	chuva
687	248.6	sulfóxido de albendazol 10%	1	92	chuva
683	250	sulfóxido de albendazol 10%	1	92	chuva
682	244	sulfóxido de albendazol 10%	1	92	chuva
657	290.8	sulfóxido de albendazol 10%	2	126	chuva
662	335.3	sulfóxido de albendazol 10%	2	126	chuva
671	254.6	sulfóxido de albendazol 10%	2	126	chuva
680	224.2	sulfóxido de albendazol 10%	2	126	chuva
687	257.2	sulfóxido de albendazol 10%	2	126	chuva
683	252.2	sulfóxido de albendazol 10%	2	126	chuva
682	251.6	sulfóxido de albendazol 10%	2	126	chuva
657	310.2	sulfóxido de albendazol 10%	3	145	chuva
662	351.2	sulfóxido de albendazol 10%	3	145	chuva
671	277	sulfóxido de albendazol 10%	3	145	chuva
680	244	sulfóxido de albendazol 10%	3	145	chuva
687	280.2	sulfóxido de albendazol 10%	3	145	chuva
